"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",SRLA -m 0 -V 0 -B 2048 encode time,SRLA -m 0 -V 2 -B 2048 encode time,SRLA -m 0 -V 0 -B 2048 -P 3 encode time,SRLA -m 0 -V 0 -B 4096 encode time,SRLA -m 0 -V 2 -B 4096 encode time,SRLA -m 0 -V 0 -B 4096 -P 3 encode time,SRLA -m 0 -V 0 -B 8192 encode time,SRLA -m 0 -V 2 -B 8192 encode time,SRLA -m 0 -V 0 -B 8192 -P 3 encode time,SRLA -m 2 -V 0 -B 2048 encode time,SRLA -m 2 -V 2 -B 2048 encode time,SRLA -m 2 -V 0 -B 2048 -P 3 encode time,SRLA -m 2 -V 0 -B 4096 encode time,SRLA -m 2 -V 2 -B 4096 encode time,SRLA -m 2 -V 0 -B 4096 -P 3 encode time,SRLA -m 2 -V 0 -B 8192 encode time,SRLA -m 2 -V 2 -B 8192 encode time,SRLA -m 2 -V 0 -B 8192 -P 3 encode time,SRLA -m 4 -V 0 -B 2048 encode time,SRLA -m 4 -V 2 -B 2048 encode time,SRLA -m 4 -V 0 -B 2048 -P 3 encode time,SRLA -m 4 -V 0 -B 4096 encode time,SRLA -m 4 -V 2 -B 4096 encode time,SRLA -m 4 -V 0 -B 4096 -P 3 encode time,SRLA -m 4 -V 0 -B 8192 encode time,SRLA -m 4 -V 2 -B 8192 encode time,SRLA -m 4 -V 0 -B 8192 -P 3 encode time,SRLA -m 6 -V 0 -B 2048 encode time,SRLA -m 6 -V 2 -B 2048 encode time,SRLA -m 6 -V 0 -B 2048 -P 3 encode time,SRLA -m 6 -V 0 -B 4096 encode time,SRLA -m 6 -V 2 -B 4096 encode time,SRLA -m 6 -V 0 -B 4096 -P 3 encode time,SRLA -m 6 -V 0 -B 8192 encode time,SRLA -m 6 -V 2 -B 8192 encode time,SRLA -m 6 -V 0 -B 8192 -P 3 encode time,SRLA -m 0 -V 0 -B 2048 decode time,SRLA -m 0 -V 2 -B 2048 decode time,SRLA -m 0 -V 0 -B 2048 -P 3 decode time,SRLA -m 0 -V 0 -B 4096 decode time,SRLA -m 0 -V 2 -B 4096 decode time,SRLA -m 0 -V 0 -B 4096 -P 3 decode time,SRLA -m 0 -V 0 -B 8192 decode time,SRLA -m 0 -V 2 -B 8192 decode time,SRLA -m 0 -V 0 -B 8192 -P 3 decode time,SRLA -m 2 -V 0 -B 2048 decode time,SRLA -m 2 -V 2 -B 2048 decode time,SRLA -m 2 -V 0 -B 2048 -P 3 decode time,SRLA -m 2 -V 0 -B 4096 decode time,SRLA -m 2 -V 2 -B 4096 decode time,SRLA -m 2 -V 0 -B 4096 -P 3 decode time,SRLA -m 2 -V 0 -B 8192 decode time,SRLA -m 2 -V 2 -B 8192 decode time,SRLA -m 2 -V 0 -B 8192 -P 3 decode time,SRLA -m 4 -V 0 -B 2048 decode time,SRLA -m 4 -V 2 -B 2048 decode time,SRLA -m 4 -V 0 -B 2048 -P 3 decode time,SRLA -m 4 -V 0 -B 4096 decode time,SRLA -m 4 -V 2 -B 4096 decode time,SRLA -m 4 -V 0 -B 4096 -P 3 decode time,SRLA -m 4 -V 0 -B 8192 decode time,SRLA -m 4 -V 2 -B 8192 decode time,SRLA -m 4 -V 0 -B 8192 -P 3 decode time,SRLA -m 6 -V 0 -B 2048 decode time,SRLA -m 6 -V 2 -B 2048 decode time,SRLA -m 6 -V 0 -B 2048 -P 3 decode time,SRLA -m 6 -V 0 -B 4096 decode time,SRLA -m 6 -V 2 -B 4096 decode time,SRLA -m 6 -V 0 -B 4096 -P 3 decode time,SRLA -m 6 -V 0 -B 8192 decode time,SRLA -m 6 -V 2 -B 8192 decode time,SRLA -m 6 -V 0 -B 8192 -P 3 decode time,SRLA -m 0 -V 0 -B 2048 compress rate,SRLA -m 0 -V 2 -B 2048 compress rate,SRLA -m 0 -V 0 -B 2048 -P 3 compress rate,SRLA -m 0 -V 0 -B 4096 compress rate,SRLA -m 0 -V 2 -B 4096 compress rate,SRLA -m 0 -V 0 -B 4096 -P 3 compress rate,SRLA -m 0 -V 0 -B 8192 compress rate,SRLA -m 0 -V 2 -B 8192 compress rate,SRLA -m 0 -V 0 -B 8192 -P 3 compress rate,SRLA -m 2 -V 0 -B 2048 compress rate,SRLA -m 2 -V 2 -B 2048 compress rate,SRLA -m 2 -V 0 -B 2048 -P 3 compress rate,SRLA -m 2 -V 0 -B 4096 compress rate,SRLA -m 2 -V 2 -B 4096 compress rate,SRLA -m 2 -V 0 -B 4096 -P 3 compress rate,SRLA -m 2 -V 0 -B 8192 compress rate,SRLA -m 2 -V 2 -B 8192 compress rate,SRLA -m 2 -V 0 -B 8192 -P 3 compress rate,SRLA -m 4 -V 0 -B 2048 compress rate,SRLA -m 4 -V 2 -B 2048 compress rate,SRLA -m 4 -V 0 -B 2048 -P 3 compress rate,SRLA -m 4 -V 0 -B 4096 compress rate,SRLA -m 4 -V 2 -B 4096 compress rate,SRLA -m 4 -V 0 -B 4096 -P 3 compress rate,SRLA -m 4 -V 0 -B 8192 compress rate,SRLA -m 4 -V 2 -B 8192 compress rate,SRLA -m 4 -V 0 -B 8192 -P 3 compress rate,SRLA -m 6 -V 0 -B 2048 compress rate,SRLA -m 6 -V 2 -B 2048 compress rate,SRLA -m 6 -V 0 -B 2048 -P 3 compress rate,SRLA -m 6 -V 0 -B 4096 compress rate,SRLA -m 6 -V 2 -B 4096 compress rate,SRLA -m 6 -V 0 -B 4096 -P 3 compress rate,SRLA -m 6 -V 0 -B 8192 compress rate,SRLA -m 6 -V 2 -B 8192 compress rate,SRLA -m 6 -V 0 -B 8192 -P 3 compress rate
01 - Unknown Artist - Track 1,0.4064882183375007,2.722323592411097,0.5701713498056781,0.3687993348812204,2.577469739240967,0.5369812564495334,0.35073685638105434,2.44836515219926,0.5338012786604144,0.4476298429170853,3.1134235315833125,0.6109188242142096,0.40838833865730045,2.96335145320396,0.5754990611728846,0.38671795415109883,2.8139660632523693,0.5712747600055453,0.47667606379496663,3.539210251760215,0.6430006875858989,0.4379709028648,3.277527331862715,0.6034200936222808,0.4284889257700086,3.166498195056886,0.602417918444732,0.7119075450249642,7.012298164650499,0.8653675058837001,0.5885279335074582,5.252076547752177,0.7442065757756131,0.5769770449210959,4.641410830934135,0.7362152566572969,0.05641434824561919,0.05607916590016142,0.059378209878006995,0.05547022849054355,0.05574737524812771,0.05911895380217442,0.05584109300341666,0.05515047734804461,0.05875505117599975,0.08382357258025505,0.08290303600235181,0.08462333720542005,0.08730870335054808,0.08705644884215812,0.08842532330132061,0.0929110028235486,0.09041533334488658,0.09402359638525827,0.08526633035683948,0.0852638907241914,0.08610481184314323,0.08894907175261808,0.08835391928574576,0.09014986909713654,0.09381039589156302,0.0925514241054293,0.09506549996542989,0.08983311295607167,0.08921074762649923,0.08648841007653359,0.1022778409456789,0.10143215958057307,0.09813214370735202,0.12782260730487605,0.1265373350476192,0.1242643270857974,46.76634671453318,46.46557274415306,44.81267137281076,46.22450560637724,46.00639424522427,44.31813944869705,45.94171531014023,45.8081881600095,44.25248453329813,41.802470354597936,41.79413629227777,41.050015393053584,41.54914949162445,41.501780714314144,40.77692305789475,41.506023080360286,41.38206795836387,40.81493007011092,41.28109559862112,41.27406696619218,40.968209577605165,40.91163645138055,40.859070691333635,40.588672421652284,40.868221068986294,40.691731670178925,40.54358505454808,41.105401151521846,41.09753933774114,40.94620729327151,40.47448834681753,40.43002277362361,40.451636015112854,40.115365820584685,39.99346160653106,40.14057039977638
02 - Unknown Artist - Track 2,0.4021735420367977,2.7151184931737244,0.5724278702650045,0.36472930864517283,2.5692203839547756,0.544080662937497,0.3497295478844796,2.448585679902802,0.5330522721349189,0.4417268364087881,3.114895332480936,0.6102219499503313,0.40411428095505836,2.946046544668659,0.5814161470852013,0.3878633819585874,2.810204194823418,0.5701739335343805,0.47986441144721453,3.568509700424978,0.639409788888402,0.4437663631408086,3.299284125521358,0.6039613215184089,0.42371043702243133,3.1556908041591583,0.6044879940914611,0.71189039527383,7.009382507319431,0.8646746150235466,0.585374053886324,5.247310566077437,0.7386075819939166,0.5731074225046131,4.620803830875674,0.738559036343888,0.0553953179942493,0.05576373864744405,0.05882339848304189,0.05532199924357876,0.05475426297445513,0.05842944349139756,0.054890199507200796,0.0549306324908648,0.05864722472941259,0.08369202215786518,0.08320138909109731,0.0856043340112188,0.08676114317331639,0.08655190963991355,0.08809543107718514,0.09299599802930227,0.09034249485422605,0.09348934982242062,0.08660267377864538,0.08618731693843076,0.08641453759362572,0.08933704289572944,0.08904637793263134,0.09073333961927932,0.09446813647975287,0.09315207493516318,0.09562570687965818,0.08986813067085453,0.0896215744056989,0.08681453905100532,0.10131433605249746,0.10127240234323141,0.09776550038836712,0.1272756938311276,0.12325012324482902,0.12452607806861526,48.20667670644355,47.96513392794393,46.362770248493106,47.72518169867205,47.54654945757339,45.93376089926941,47.48670781709325,47.38174143193325,45.912611526475985,44.576113698870316,44.57037909076315,43.692017390991275,44.3104771820301,44.27420896068582,43.42306291448295,44.24011448995278,44.14947784364926,43.45032788740786,43.920290796786254,43.915388452809886,43.61629738387943,43.51528271211084,43.47061663744084,43.23503287011772,43.43522013571207,43.280919598846225,43.15990099632497,43.78447392152748,43.77907838399212,43.604094542246095,43.16484279578606,43.130964097235086,43.129033244451634,42.79412522628337,42.69888215213887,42.8225529030236
03 - Unknown Artist - Track 3,0.4023213793919666,2.7233858128669786,0.5737234249321463,0.3658713472701648,2.583318396004312,0.5400043144427261,0.35055983598160906,2.4485553226655674,0.5386597717364001,0.44345642727994095,3.116150469690638,0.6103418576535885,0.4047716104089919,2.9376977678183502,0.5780082310813145,0.3882929760308596,2.8106609268357636,0.571501193350526,0.47547615586961056,3.516248217621077,0.6359425813168215,0.43745702395933994,3.2494945304549434,0.6047225375571992,0.4248417811574325,3.0997916296922625,0.6010808573780085,0.7113107998518658,6.9635944279468065,0.8616001881803128,0.582885239129113,5.177395313788246,0.7266509057273152,0.5630157354400738,4.491739397507338,0.719044238244667,0.0560913986663445,0.05566284691798276,0.05935868700489877,0.05573972643471509,0.05584595789159125,0.0594660659128623,0.05545006272754383,0.05536606897132382,0.05927820446316571,0.08294422600815525,0.08344013341185863,0.084600555362506,0.08610801382849737,0.08550592087985379,0.08720172270389258,0.09169818855505936,0.08905098527407275,0.0927178406495419,0.08555624828304745,0.08538080229178606,0.08535872524951042,0.08810444906637385,0.08809168935524685,0.08944022519776881,0.09244798200504419,0.09062967779851527,0.09367107799616997,0.08797756342313448,0.08784668461698289,0.08566826289393824,0.09899508888703248,0.0983093693574333,0.09351171934956941,0.12221947768248854,0.11919974143990912,0.11568276674822767,48.75187333095377,48.427401143364804,46.870205764970294,48.15876786536777,47.93373787932301,46.28378207845897,47.86086537677454,47.73392068114181,46.10003055196647,43.99312614579632,43.98417157309947,43.29173839128051,43.73130214187967,43.68119660463627,42.979065996566796,43.66653337801036,43.55324625962177,42.9435443268131,43.5898971708546,43.58175050018372,43.246589547626385,43.20695551345387,43.15813403305368,42.849938274203666,43.11060571628281,42.97055375348159,42.732032714281765,43.46429247375125,43.45540685243504,43.23713670363172,42.844765619686356,42.80541909976141,42.772914378153,42.458558528976155,42.35250349973791,42.46721387870042
04 - Unknown Artist - Track 4,0.4039142224043025,2.731682498091356,0.565767555896737,0.3700910747251338,2.58323157249732,0.5324007040358623,0.34862598970169195,2.5003161185842355,0.5287431677172129,0.5131169418289531,3.6159561833700637,0.6665964674538055,0.4445423658282548,3.313950037116136,0.6060290330256818,0.4113776317036474,3.0427619607223346,0.5878603176011105,0.5430786135244836,3.9966152098584913,0.6911784774400911,0.4689340163681525,3.5571771728360586,0.6265134902516506,0.4350586396139342,3.2448516183854093,0.6074950740065156,0.7696371013013733,7.4174921049041815,0.921293434252144,0.6007711885319039,5.426487493807405,0.7493777554121334,0.5500866885552959,4.488631776060604,0.7027161253303329,0.05476624567072849,0.05414513136414434,0.057832594807051725,0.05359571392623224,0.053272689953588,0.057542855055853624,0.05369843446806703,0.05358852737232775,0.05684607944437677,0.08000474605313537,0.08037046763890601,0.08183502407104219,0.08289723446875659,0.08277951661991674,0.08457973255370037,0.0863888726496529,0.0857605886395083,0.08788620721356029,0.08103281187008254,0.08112119304407464,0.08277965158960147,0.08292110531816158,0.08272209163915475,0.08435139906982894,0.08508181317239807,0.08469038192869824,0.08692681857757958,0.08283716092027921,0.08311144788474674,0.08294279993974026,0.09049617617185421,0.08974447231748243,0.0889215945344576,0.10553701808325448,0.10465752507865886,0.10137109182130712,38.77260669556983,38.03248421129541,37.64133709417449,37.798663724453036,37.150956254495995,36.633822743806114,37.12223256557675,36.69648504675453,35.97125469778395,32.6375461601683,32.63358308486011,32.354587938671024,32.29323390961778,32.2811275943846,31.944848604593915,32.12202217065209,32.095192036054804,31.72608665631396,32.33384395543988,32.330247158568724,32.29225079151527,31.9277999213123,31.914632068050135,31.829672684790342,31.722087240064244,31.69155224211177,31.572145471641345,32.2679004480073,32.264276873600274,32.281931876801146,31.706556269261895,31.695479932818987,31.757178244476226,31.29386279917441,31.274126798900515,31.371641977459817
05 - Unknown Artist - Track 5,0.41077758722369023,2.7174510421452776,0.5715583404786418,0.36493659718730004,2.575410856807081,0.5394723468156868,0.35376094914421147,2.4571264263560346,0.5325161269044318,0.4453654277474765,3.144865180398759,0.6162544851860056,0.4034325077530192,2.966722857992919,0.5797969131305194,0.3905266638068038,2.8191766044430784,0.5701093265658411,0.4965873458210023,3.689557070768379,0.6565092836817524,0.44792742892982085,3.406091715581767,0.619998763271888,0.4331173570335372,3.250725413893539,0.617018682800735,0.7383765912569827,7.262113234621546,0.8859767000811712,0.6226889222338989,5.546728695335389,0.7747731515116003,0.6114556097815623,4.943208363571892,0.7819804267446226,0.055003743162540836,0.05444990435246178,0.05864125058010633,0.05482976056581199,0.05407238969114077,0.05822460589456246,0.054164171234091056,0.054474078230924095,0.05841961281737632,0.08743882329676435,0.08715396411875731,0.08701164171347343,0.09251289493142949,0.09016774948813518,0.09143534397983002,0.095709352946943,0.0928653123141137,0.09593071037342336,0.09167569750582018,0.09151004221162638,0.09094629311631514,0.09523189433816684,0.09420838005834696,0.09563693027916896,0.09942287777094838,0.09679905678738743,0.10124929094524378,0.09877738935553973,0.09860804036466543,0.09398154805565616,0.11527128817438825,0.11372763999231256,0.11161597190393409,0.1420563452299796,0.1334244113216573,0.14139271815602356,50.55352571407098,50.385858293902395,46.64569717748064,50.128438082314865,49.93863206403377,46.58789826434064,49.90513391500865,49.783512311072215,46.932949297253984,46.272410855288555,46.250447997430456,43.84790952293439,46.10989879417881,46.01543186391422,43.93103092411517,46.14911130583796,45.95805921437002,44.34108995975361,44.113454916922535,44.04232965768229,43.513538449630694,43.92837332016154,43.63869168484986,43.308189701508915,44.15473892009109,43.58690907105758,43.51784034670935,43.522117004496145,43.46842274804288,43.43370469991137,42.84624989927653,42.679453702071285,42.92046556958632,42.51808956134671,42.2721242491077,42.60130257180906
06 - Unknown Artist - Track 6,0.4050786650371074,2.754708351848729,0.5787748167475293,0.36898742226133563,2.6003281652529124,0.5412074133750363,0.3556605619784885,2.4641876554927324,0.5353134995573504,0.44165942358742694,3.1207547812141425,0.6117818636118384,0.40916223344727687,2.945104448023866,0.5807950688518122,0.38651611506759476,2.813734334743752,0.5708816581507479,0.469051232786025,3.483829498002305,0.636742020216996,0.43626070635728703,3.19587194580151,0.5970311694768056,0.41590285428282725,3.0684869446965632,0.6014990004441303,0.6983650655319212,6.915756197244574,0.8614477343440811,0.5592786483753397,5.04100430363925,0.7211402432219055,0.5351404264699455,4.328978659486287,0.7125590904076669,0.0551193691712011,0.05420550865890013,0.05828416258798393,0.05392501666257137,0.053668480674263094,0.05799704020315809,0.053815931805010445,0.05376133940291025,0.05810375943712093,0.07933167480914417,0.07933718902824831,0.08015557529746299,0.08349477454310598,0.08301307196400586,0.08313761661856807,0.08833057530111477,0.08750194357529673,0.08860158818244962,0.07956297201644803,0.07919765104928503,0.08053229119970415,0.08291758107122714,0.08284036539286468,0.0851239504678469,0.08833550644158984,0.0879121612575038,0.09044890049383664,0.08039911705900753,0.07989970568473079,0.0809447079116153,0.08983707241320951,0.08927695468940695,0.08849273656603729,0.11087338961196443,0.11061880275282222,0.11227591625055976,42.35776763859131,41.90374436980435,41.06839413955341,41.58760855101081,41.347181682706456,40.348446086210096,41.22806894937252,41.10144538497254,40.080155574026385,38.37610165938652,38.370744065442395,38.25701536931549,38.02557826599512,38.00671005351323,37.85290753686257,37.864832504028534,37.82316264370827,37.67339461345446,38.25270795066941,38.24833914587732,38.2204500031373,37.79656166563242,37.78117357542871,37.74899779089204,37.54566704282838,37.50886368728409,37.48977731788327,38.22214520516969,38.217774511573104,38.217134206850005,37.65101889102924,37.63788981099904,37.69422340499999,37.174853167171925,37.15231878516931,37.24934194995869
01 - Unknown Artist - Track 1,0.40250227741037686,2.7248046578881935,0.5781058248525427,0.37135228406871623,2.5802269266509645,0.5393241073204741,0.35201816942642,2.4602836126027703,0.5386730833131734,0.44907721590875394,3.132785491056285,0.6147169525933031,0.4055040228739542,2.9744736684579443,0.5830816709924711,0.38901624110808736,2.832905961174911,0.5729032016715011,0.4845341611879756,3.5706103131896123,0.647899660882097,0.448291276014441,3.3845123844680893,0.6195085776985088,0.4322244165099804,3.2329312121750347,0.6186958408088677,0.7300035906607725,7.130553843347632,0.8868792306653974,0.6405677072968515,5.59011031317728,0.8033698217891169,0.6440991754799831,5.175551682299622,0.8225077465214049,0.05435953187904928,0.05436569918566326,0.05831622779978099,0.05406950261951409,0.0544031185565976,0.05847469911455368,0.05466846199513294,0.054527461929044285,0.05858039098403619,0.08359098011654485,0.0824744830127731,0.08518970676153947,0.08876516058795421,0.08582816344495242,0.09078459338791532,0.09373021809720121,0.08994718731052291,0.09726306603683255,0.08716985836982234,0.08623982645400376,0.08734817806541162,0.09393985638042834,0.09215611077891729,0.09569372963541439,0.09807839616504581,0.0959954784263268,0.10096849857831865,0.09446239776513514,0.09367958308305993,0.0946008876911607,0.12458454684637807,0.12045576501160797,0.12445756034529,0.1579948966020441,0.1519711084479449,0.16097621185009872,55.792459872017616,55.666941600502426,54.8742419890951,55.62932777188209,55.48686848225026,54.77660284535222,55.558181526971794,55.44665841927984,54.86353193341864,54.17095461548648,54.07662885104483,53.74650563819172,54.163478779878794,53.93264857330373,53.744177037437076,54.27423668165704,53.93644727408964,53.93328561665061,53.90380822628021,53.81551835331306,53.673326697276664,53.72397352809721,53.50645243866413,53.51423737222711,53.80415052210979,53.419823024834855,53.61955496151787,53.62796468759413,53.540083803994655,53.57124332805467,52.96577509120557,52.75779363165483,53.01542018078687,52.55438173303458,52.170993780459106,52.605274522898824
02 - Unknown Artist - Track 2,0.40229400001265403,2.7257552941092382,0.5718489803885128,0.36614631371134343,2.567510235296818,0.5390856470501817,0.3512525490220344,2.4461006666487997,0.5345941568478284,0.44412823530900125,3.100665058808255,0.6100621960792398,0.405396352951214,2.943852666660449,0.5760325097898934,0.38756031374100086,2.8072942744977043,0.5710363921517616,0.47787164705440255,3.525446941163026,0.6393335294206718,0.4387602352938962,3.2848322745093017,0.6045811372699544,0.42683882353480396,3.1318231372564447,0.6024176078647667,0.7069991372626129,6.919058549021572,0.8606431764714858,0.5896475686299085,5.183559921570122,0.7539012156856045,0.5730258039308384,4.527740156866939,0.7415588627405026,0.057583999998100543,0.05768462746203238,0.061396392149047234,0.057298196091627084,0.05777078431884886,0.061075960801841286,0.0576467843333661,0.057497999982397054,0.06121486274744658,0.08548003922709647,0.0844828627419238,0.08600376471055343,0.088260627452138,0.08810768625242453,0.08934090197013289,0.0946972941221925,0.09310666668027931,0.09503247058840797,0.08665572550586041,0.0872120784376474,0.08675098040268994,0.09025890195249196,0.09033313726403695,0.09150901959989877,0.09509164705306437,0.09371360784451313,0.09586701961690743,0.08881850978450886,0.0890796862807417,0.08764878431262046,0.10110384314412288,0.10089607843124837,0.09791615686160238,0.12626529411029289,0.12180243137146474,0.12491980391810191,49.31267685390197,49.04770445736081,47.85524864099106,48.82589817394692,48.653740590356456,47.41005544345651,48.59822955132942,48.48485097742557,47.33290021236029,45.10513350616081,45.09909554132311,44.502290736276905,44.83184445775741,44.80032299110285,44.22096292467279,44.74082369400555,44.66365290114429,44.1974068586123,44.60486722212979,44.59969849302535,44.41809491805219,44.21476489596604,44.17288374000968,44.01878669630931,44.0988675392341,43.97390434280843,43.899432404627944,44.5096470049249,44.504304873295666,44.407839714887125,43.92203697991136,43.892418494810954,43.9226839047154,43.522215219921975,43.447990046872924,43.56181546574451
03 - Unknown Artist - Track 3,0.39869368866925664,2.7288735206410686,0.5682446342276068,0.36402616931502607,2.5783374365098735,0.5380519934381397,0.3491514898370142,2.4504471898275315,0.5309774304701071,0.4722955520477927,3.326481298386339,0.636584755165896,0.42143852322293673,3.092202142611557,0.591620343093277,0.3962889010790647,2.902278030843069,0.579103851274864,0.5067902355891539,3.7530501411546795,0.6663385152115858,0.4532662853170856,3.4234636508206013,0.6181244051766869,0.43372671236364446,3.21966064648197,0.6100226373344113,0.7424737967887354,7.228818257186916,0.8922361926128535,0.6075095233953454,5.410862943193307,0.757463931285235,0.5841178744023494,4.7517322815490814,0.7479832493010373,0.05346873305162056,0.053269777232622384,0.05734083596268754,0.05337949048400038,0.05336747066050496,0.05667336591784474,0.05275340561353705,0.05316667488605052,0.05621148108898317,0.08012618657457828,0.08067312552528262,0.08137621122836597,0.08372054834971962,0.08343294171814408,0.08516552529849714,0.08806065696253014,0.08802565154074553,0.08983077013605141,0.08305445596667428,0.08284633734398478,0.08370092830071747,0.09010444301996763,0.08661826890237351,0.08743048535864427,0.09124319184957462,0.09065208466801244,0.09194095184338288,0.08693814414046132,0.08728347366630934,0.08457176450569491,0.10148700317780207,0.10116053553246691,0.09598323697222491,0.12785311467635913,0.12586911336939136,0.12231671926682004,39.79828254310892,39.499729527826936,37.76329262074212,39.251410054117706,39.07005133887028,37.14608384366903,38.97637357795594,38.87656692451869,36.87491088130068,35.00790754504042,35.005041489766725,34.24939511452679,34.647213859865914,34.64078410492035,33.8311617530941,34.46391998074313,34.44951737159711,33.6443807002815,34.47096299184638,34.46863576335055,34.12363095280152,33.95989994510886,33.950464186689516,33.592584141732495,33.69975930377207,33.67402089041901,33.314487674589046,34.29996254000763,34.297173534866566,34.10288559770325,33.46343239492422,33.457258949603535,33.43470632336706,32.818661160541886,32.809588638462095,32.85957058776504
04 - Unknown Artist - Track 4,0.406449258528723,2.7217560803171703,0.5703799659550853,0.3646793153710914,2.5824451112153444,0.5383000634674603,0.352214246562973,2.4499349485017246,0.5334917630732782,0.4464909191930766,3.1064744669769557,0.6139780949731857,0.40268060643653836,2.9408268154347437,0.5756516041078655,0.39081770578448716,2.8150231384027746,0.5692873907323716,0.473248528605316,3.5161265399118014,0.6352475548937515,0.4381383976193012,3.2364623135440542,0.6043507616676786,0.42242539886645625,3.1175544127437664,0.6002890857139224,0.7114634459429802,6.959326880356331,0.860535883270745,0.5828608738980048,5.17134535933473,0.7290860549265858,0.5614716684497489,4.513896865359783,0.7174922246953478,0.05524441015226754,0.055949705721806055,0.059349535494207004,0.05488675312856482,0.05479753901447775,0.058407496897782,0.05509521508904727,0.054683484313819045,0.05869383456973327,0.08272520988378605,0.08236331178770637,0.08275965783279376,0.08719768615253785,0.08551319927311253,0.08681791494503477,0.09151984219076752,0.0895206067304889,0.091039215542714,0.08360847927683848,0.08350825134748553,0.08333906263035584,0.08748941172767526,0.08694170682543739,0.087880586240153,0.09202790601085606,0.09177491273373764,0.09300385158576485,0.08606311127110503,0.08672060817590252,0.08400547445884543,0.09830020052040397,0.09795500706662137,0.09290221719098703,0.12109413317416833,0.11887879749042725,0.11628918669395497,45.635696190494926,45.26995886643424,43.67248264888525,45.058687691415976,44.805644110287005,43.11460256059182,44.752613492416025,44.605439789322034,42.94708851456814,40.99185925061673,40.98390073264978,40.328781489566666,40.72361377165108,40.684914128719655,40.01574236069367,40.68104772171722,40.55951840466159,40.00911476011177,40.58503767219924,40.57773663968703,40.25548903449193,40.19367926848757,40.15561625792742,39.857022182626984,40.10480588011813,39.962857714406866,39.769560670672455,40.446560931556796,40.43887963693457,40.24136904369084,39.821667619611695,39.78920182198051,39.76280427163393,39.44175142545545,39.33252665428861,39.46407894457295
