"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",FLAC -0 encode time,FLAC -5 encode time,FLAC -8 encode time,WavPack  encode time,WavPack -h encode time,WavPack -hh encode time,WavPack -x4 encode time,WavPack -h -x4 encode time,WavPack -hh -x4 encode time,TTA encode time,Monkey's Audio -c1000 encode time,Monkey's Audio -c2000 encode time,Monkey's Audio -c3000 encode time,Monkey's Audio -c4000 encode time,MPEG4-ALS  encode time,MPEG4-ALS -b encode time,MPEG4-ALS -7 encode time,TAK -p0 encode time,TAK -p0e encode time,TAK -p0m encode time,TAK -p1 encode time,TAK -p1e encode time,TAK -p1m encode time,TAK -p2 encode time,TAK -p2e encode time,TAK -p2m encode time,TAK -p3 encode time,TAK -p3e encode time,TAK -p3m encode time,TAK -p4 encode time,TAK -p4e encode time,TAK -p4m encode time,HALAC V.0.3.8 -mt=1 -normal encode time,HALAC V.0.3.8 -mt=1 -fast encode time,HALAC V.0.3.8 -mt=1 -ufast encode time,FLAC -0 decode time,FLAC -5 decode time,FLAC -8 decode time,WavPack  decode time,WavPack -h decode time,WavPack -hh decode time,WavPack -x4 decode time,WavPack -h -x4 decode time,WavPack -hh -x4 decode time,TTA decode time,Monkey's Audio -c1000 decode time,Monkey's Audio -c2000 decode time,Monkey's Audio -c3000 decode time,Monkey's Audio -c4000 decode time,MPEG4-ALS  decode time,MPEG4-ALS -b decode time,MPEG4-ALS -7 decode time,TAK -p0 decode time,TAK -p0e decode time,TAK -p0m decode time,TAK -p1 decode time,TAK -p1e decode time,TAK -p1m decode time,TAK -p2 decode time,TAK -p2e decode time,TAK -p2m decode time,TAK -p3 decode time,TAK -p3e decode time,TAK -p3m decode time,TAK -p4 decode time,TAK -p4e decode time,TAK -p4m decode time,HALAC V.0.3.8 -mt=1 -normal decode time,HALAC V.0.3.8 -mt=1 -fast decode time,HALAC V.0.3.8 -mt=1 -ufast decode time,FLAC -0 compress rate,FLAC -5 compress rate,FLAC -8 compress rate,WavPack  compress rate,WavPack -h compress rate,WavPack -hh compress rate,WavPack -x4 compress rate,WavPack -h -x4 compress rate,WavPack -hh -x4 compress rate,TTA compress rate,Monkey's Audio -c1000 compress rate,Monkey's Audio -c2000 compress rate,Monkey's Audio -c3000 compress rate,Monkey's Audio -c4000 compress rate,MPEG4-ALS  compress rate,MPEG4-ALS -b compress rate,MPEG4-ALS -7 compress rate,TAK -p0 compress rate,TAK -p0e compress rate,TAK -p0m compress rate,TAK -p1 compress rate,TAK -p1e compress rate,TAK -p1m compress rate,TAK -p2 compress rate,TAK -p2e compress rate,TAK -p2m compress rate,TAK -p3 compress rate,TAK -p3e compress rate,TAK -p3m compress rate,TAK -p4 compress rate,TAK -p4e compress rate,TAK -p4m compress rate,HALAC V.0.3.8 -mt=1 -normal compress rate,HALAC V.0.3.8 -mt=1 -fast compress rate,HALAC V.0.3.8 -mt=1 -ufast compress rate
01 - Unknown Artist - Track 1,0.06550461481355081,0.07704901753205748,0.17566829529711517,0.19532286515361516,0.291184222351199,0.38565377647732174,3.971219554118288,5.9990623264473495,8.20836826620683,0.1370423729915998,0.166763044453258,0.2179747176886657,0.236629869353857,0.3295583860017667,0.6538494367069413,0.9179178853833351,26.162139343604647,0.06534905323882953,0.07346903842275887,0.1149458850170002,0.06933276253837801,0.0982955597257492,0.1447542049042264,0.08278545738549747,0.13050214212393194,0.21996214925738708,0.14887449422840762,0.1797020667448095,0.32776555021095216,0.23534279215959084,0.2749851109465895,0.5040915359822641,0.19803354005143653,0.023300518335746118,0.02080947028413194,0.0639568931330323,0.06497106815091683,0.06444777589540783,0.16785994896221534,0.21502341125385446,0.2606050167963207,0.15944379578986914,0.20027167905287724,0.22849580170818962,0.1671754224711638,0.18803098801817722,0.2413491590225779,0.25391158464818164,0.35167833813439653,0.2277469521074038,0.42559476238918387,1.593966334336162,0.08966878454609752,0.08244511807880538,0.08978021448328773,0.09248093249297659,0.08476886256515599,0.08719951471155613,0.08802183111471956,0.0901378494106561,0.0949329463414052,0.08934883505760359,0.09837019675795211,0.09677929547758816,0.10217517784374157,0.10256504377593822,0.09945026181893134,0.19708985666909504,0.05328584083812007,0.028442956129084762,43.840681558087354,41.718732817742875,41.66541933084181,41.71873956415058,41.529156512386066,41.47357735689689,41.53736464176238,41.346477284507934,41.321290695736785,41.61702509956011,41.25305078178497,40.85910105016831,40.192533480734845,39.47852966991401,41.48208007940972,40.8684515712496,38.957105440280685,41.55620735848679,41.50536643001018,41.41620028375391,41.25149348600604,41.2293101730656,41.16125803412828,41.08004927576189,41.0485199393453,40.995206452444236,40.18852499015587,40.1550302002941,40.10406221447235,39.663148490007785,39.65823710519741,39.600270845781395,41.960869261140175,42.246531278257606,47.49454946477375
02 - Unknown Artist - Track 2,0.05649440303865839,0.07689410724764896,0.1776629788674676,0.1905980918079447,0.28876057041449377,0.3877929994470611,4.012153959927601,5.839958356295584,7.9413910840114275,0.13389826146290223,0.16103117478609077,0.22366440709335236,0.23943798394261437,0.33443190123221145,0.6482839877620441,0.9278030478750625,26.31177106835372,0.06154484818080761,0.07367136705252691,0.11637003741712319,0.07134380709636544,0.09971874547569214,0.1444848258615616,0.08373064989041988,0.1312788837929343,0.2226003610419528,0.15081527129200276,0.18006359656147916,0.32719385639379883,0.23448128063644447,0.27387558362610315,0.49897217469919625,0.030191833658331963,0.023843379343425265,0.021470579713946468,0.06379358669621757,0.06484897630559819,0.0654145158486921,0.16316133311483944,0.21488371080554267,0.2611320215847638,0.1646831264660003,0.20054725516373512,0.2280602470839817,0.16473808833199147,0.19360215903982392,0.24198060638512023,0.2536124467129059,0.35290859264457314,0.228233789111314,0.4268027868875755,1.6322482527657,0.08233274366588099,0.08136291796341485,0.08845360757536552,0.09236144622552403,0.08447651741437567,0.08596875271259466,0.0871403952698666,0.08932086099972648,0.09673497085436168,0.09746404750726045,0.09672028970928091,0.09712653336985601,0.10041548008659834,0.10132147000624091,0.10326190441165432,0.05128801147806835,0.05336394745394036,0.028736333841504903,46.560452090807786,44.49907193302037,44.44555180098259,44.53767912481817,44.291849261307014,44.23139852678152,44.32061230966736,44.13181288335011,44.10589309585735,44.45205702402568,44.015547433753625,43.66597183914097,42.83483218965857,42.25407704620459,44.249443246121096,43.63431127862157,41.61878455899742,44.34612028053836,44.32045572071238,44.228947354793334,44.065567124506465,44.050029061430465,43.98050109945174,43.86166117947733,43.83408549461026,43.78627777696949,42.79962433446612,42.77194014701607,42.724875918665475,42.332901706770286,42.331175529313825,42.279707082481444,44.79351095370565,45.11152955844627,49.0536774607831
03 - Unknown Artist - Track 3,0.05697250697232834,0.07773133471927418,0.17694418775236465,0.1893264970484678,0.29091015422414035,0.38623714850081886,4.08965689544693,6.031635216181509,8.232639614755373,0.13323014136243502,0.17844813500386905,0.2266940347545857,0.23870548637382832,0.33261434013568814,0.648760074665707,0.9173657553273266,25.527374804939566,0.061222223925915864,0.07365967993580935,0.11558748202201274,0.0713299317638501,0.0996873259746077,0.1436473868581552,0.08403162386917462,0.1304727823496012,0.22102174810013617,0.14846493375256456,0.17935848045011962,0.3243701921680599,0.23364853432757463,0.27381033322257275,0.49765906795712833,0.03086754536695025,0.024600807810273483,0.022380228564096445,0.06466993818463429,0.06453380404475487,0.0650939460272244,0.1639995563180618,0.21558356537858345,0.2597159970620365,0.15823974174361638,0.20191553196281206,0.2315801995018686,0.1654512484261041,0.18763861264895412,0.24232697132571768,0.2531586778266321,0.35060272788198654,0.22721966127369733,0.41980644716767623,1.5252809736458754,0.08545238058957087,0.08087254061298464,0.08287466724779453,0.0877932131745667,0.08699474464347347,0.08433606682489696,0.09474319176435665,0.08755181144794534,0.09119378998124997,0.09729494966074784,0.12291795692321474,0.0961228466021941,0.0944490070739864,0.10091989994190448,0.0995831599403753,0.051617032833458545,0.05339513020641243,0.028788562164696944,46.13387527210426,43.8904484332399,43.833869272033176,43.97933977257701,43.673786282671834,43.62656629565967,43.68103268248608,43.474618268244186,43.452551224501065,43.84151246752845,43.415530837945575,43.02587487723402,42.48822063234505,41.87945019365971,43.62591711190611,43.023616394275756,41.319436186902266,43.715747751183244,43.646281186644416,43.55368728826397,43.394310725311804,43.362991186868705,43.294962193567706,43.25518765469502,43.226709433522,43.1668193050752,42.46833011048509,42.4233660044923,42.39307813481988,41.972100033726335,41.95725337040854,41.92393554289637,44.181605395255595,44.498214523512914,49.50579032879089
04 - Unknown Artist - Track 4,0.053911703184639885,0.07485711232461299,0.1678753823802635,0.18202379211800734,0.2802182902977694,0.38135158464339497,4.815620776916558,6.353968689554595,7.772430186914417,0.1323373127442064,0.16375665796784578,0.21907839421150296,0.23493237999438754,0.32538366547494496,0.6391900895234212,0.8638736279205274,24.892798444603972,0.05360980025414723,0.066496378605596,0.10749122205470252,0.0629219431856715,0.09235967093127458,0.13498309640177983,0.07667030118706282,0.12201952404622819,0.20649150884239334,0.13108624431878493,0.16138308628645157,0.2822775765890541,0.20073308515841803,0.23952887556635563,0.4055270142687663,0.02924716586923698,0.02268388141658662,0.020606932380598297,0.060661399517440616,0.06103356538767671,0.062005910072520924,0.16174312271735938,0.2171945206695505,0.2628398263543001,0.15261079558113033,0.17878827207701953,0.18481986931639402,0.16712055759864813,0.18970384407163773,0.23892520468487463,0.24828058504934697,0.34043334720841795,0.22092604817458034,0.3722564724052273,1.7823377007528385,0.07572061271283681,0.07401316410938602,0.07522369426970471,0.07977025507451203,0.08814028408550768,0.08879093751655694,0.08976014441399395,0.09166122520128545,0.08358621619711602,0.08591655044556214,0.09204125242475202,0.09049956699918911,0.09461064937797685,0.09360255746396619,0.09311073372628666,0.04967848306070525,0.05167629560473067,0.026917961890022796,34.36488275360287,32.60082172606849,32.544167154559744,33.11678467590479,32.957856175177106,32.954602704569375,32.4666069782641,32.32591780482351,32.33240179386538,32.53086063191542,32.303715402228235,31.98847877392549,31.559613584856002,31.089667830405624,32.07270464397067,31.417528154188112,29.843360978588873,32.10616126235425,32.11783722433244,32.03928627920975,31.78962401088086,31.782001020224115,31.735908273933426,31.60436649801282,31.58758367740873,31.551627184783932,31.053358448111734,31.023746318806072,31.017750063453196,30.678162135301914,30.678584837832375,30.6708107453661,32.95051052328469,33.314137027919216,37.58031874066014
05 - Unknown Artist - Track 5,0.05574991754734412,0.07645600554168722,0.180324714731478,0.1905571532211776,0.2877911087716792,0.38658945650369014,3.735176604449069,5.6729964217365705,8.207277867547186,0.13421970846493075,0.16009888859322832,0.22617294374340377,0.2451577897208752,0.34390313963869695,0.6511091946374787,0.9295823329573407,27.3029069817217,0.05922155530327654,0.07238877713036185,0.11540562958219705,0.06953612887794439,0.10192673635895355,0.1474611668093278,0.08577046369425544,0.13403833849403737,0.22784225974488975,0.15526050392788754,0.1864449904421533,0.3477997823335196,0.24652018336067869,0.2871410527000298,0.5400164072301631,0.02924076577390642,0.02325725545288771,0.021081854755740252,0.06333070047714254,0.0639569124759883,0.06521598179711006,0.16499826858883115,0.21622595805502173,0.26053639271695356,0.1573725347919325,0.20024386583589399,0.23545326825327018,0.16343247477406492,0.18842909439337216,0.24402016687758124,0.25660527010316386,0.35823951257249875,0.22380052436747372,0.43127978035857817,1.5573107644675208,0.08104072949638307,0.08200918474623423,0.08079684717174263,0.08398324648419848,0.08945656618699613,0.09155458083365108,0.09107156519964939,0.09552369567525507,0.09778027504879543,0.08985536904004529,0.09660934304335249,0.09132313171490875,0.10056031923600736,0.10072094518827059,0.10325291866966915,0.0510335235137326,0.0529480410241008,0.027979223011126046,48.90811271232087,46.44087191096774,46.32747925096512,46.52641534937817,46.22453659257969,46.06078032786027,46.26914657354178,45.99755870612547,45.959213678275304,46.33199427984167,45.96069064424321,45.376933867259645,43.36794232279633,42.23049530895043,46.11050360239478,45.50236379990065,41.15317763619262,46.28136706474327,46.2402896498525,46.156485853003,45.84157146935492,45.80571391393551,45.73883072530433,45.004905770506035,44.95585180460002,44.88401049730192,42.87968915662065,42.866209505192096,42.694295340471506,42.07258895121021,42.078236009065954,41.92520270423121,46.65912635032549,47.2244500311565,50.80868373727729
06 - Unknown Artist - Track 6,0.05434394713755683,0.07477041870362951,0.17172509440486097,0.18680999000038148,0.2851683585071634,0.38638708907607133,4.736182330073085,6.76444184806825,9.383885984007817,0.13076851399670125,0.16401776988109965,0.21397646601429365,0.23061968569445926,0.32358966570525766,0.6497853398546477,0.9179189526791958,25.818557019100144,0.055732813193206276,0.07055434251864251,0.11050760218189816,0.06492314526455117,0.09474095957206731,0.13779875610609382,0.08363689470803262,0.12635802422103096,0.2120649489203943,0.13653113616529897,0.16853334628996536,0.2920104009296347,0.2111062083427417,0.25227754332028685,0.4243284762400345,0.029852765434966077,0.02354065414573145,0.020853098630476935,0.0608171701404847,0.06299751776479816,0.06346166148322632,0.16427910373476778,0.2150526377163248,0.26006838072311966,0.15649974455426313,0.19906266103883932,0.23625324855275476,0.16503848289278172,0.1877395435314384,0.2385910095547991,0.24756263882995522,0.34106871389958415,0.2249551366046036,0.4129340071108557,2.01137715459347,0.08564528542403103,0.08679087627806334,0.08699940026490335,0.08019317525813087,0.08264183695239306,0.08273066414759285,0.08630409262398352,0.08705289315699999,0.09019231452736015,0.09533416259110074,0.08601243891433127,0.09478893825475677,0.09568700578226842,0.0984188916030243,0.09621237228159689,0.05021804753891724,0.05288464571684967,0.027600383163606256,40.43579573878907,38.117346776685245,38.074230092123415,38.874935870365455,38.34176036049874,38.207254814949856,38.064321423753626,37.84453635535001,37.7860891891215,38.35030908963363,37.694225293804486,37.32761589694925,37.05549961126515,36.42736634432203,37.96809911206923,37.346250842076266,35.923047989497945,38.08252949906525,37.95370358862654,37.876355155837516,37.709384838664555,37.63942068704055,37.58392383342996,37.51259690936432,37.4754696238495,37.387806429724705,37.0799435746101,37.007360595556676,36.99440528553983,36.656974140491016,36.6161429093656,36.60299210808374,38.57127371644307,39.048605777074755,43.68106689952856
01 - Unknown Artist - Track 1,0.05632901123133288,0.07635218432403874,0.17483494580795864,0.19504308796711184,0.28926127069927043,0.3867722089259543,3.6439709422128006,5.578230284596266,7.913695558212421,0.13261564931300238,0.16088456679276136,0.22455203138739943,0.24229626304774873,0.3462695491743449,0.650924097347676,0.9363650009975191,31.458569303151403,0.06335720460244756,0.0774000764674927,0.12159275882519162,0.07375658288221792,0.10496429283143345,0.1520425726433438,0.09041932642077656,0.14281069220007678,0.23693578363378517,0.16883723984525525,0.20427874194193577,0.3718730134937199,0.2766175942505343,0.32209932508606737,0.6050913292164444,0.029840498044083643,0.02383326683251657,0.020921670324122964,0.06158873595743089,0.06508810425470318,0.0651781700823494,0.16762194959644336,0.21404243965551287,0.26015303544098217,0.16310424562534034,0.207751479489279,0.2453528825073722,0.16043769531886148,0.18999945143158384,0.24810893344003948,0.2582177338920653,0.3653699381610165,0.22500497040712733,0.4425778143468215,2.55426968215614,0.09044746990610762,0.0866080025269405,0.08895737748353806,0.09414151539733835,0.08755680231072925,0.09174640934171968,0.10179425161862299,0.09248183057722122,0.10146110113188739,0.1016524037503477,0.10385053859773681,0.1031568255857913,0.10996462530949425,0.10831416649458742,0.1096659186129581,0.05045272292138205,0.052187944683080044,0.02713031118933962,56.01928405600749,54.42169902325423,54.30117532235807,53.98191671415906,53.63532932332765,53.59030468275486,53.8442965037968,53.59161834906485,53.57346072893515,53.87549372272941,53.56482483362331,53.07404513139245,52.49741535682325,51.272976579761014,54.007536976691036,53.403311728265805,50.65217029925243,53.89527316475257,53.80234022585335,53.72821702837975,53.700712964589776,53.62543724638654,53.55469339424121,53.42331545478091,53.340054077818124,53.26792776622032,52.67314037152142,52.64004427338176,52.57991435498777,52.00382738658395,51.99413226535215,51.895786342748096,54.42040043489328,54.80103571939741,55.9200447649229
02 - Unknown Artist - Track 2,0.06113356862710241,0.08122580392998369,0.1780138039212747,0.19380737253574326,0.29336996079769495,0.38977925489912285,4.048641960789431,5.945476980391415,8.202614039228315,0.135428509789099,0.16540360785381614,0.22148039217070475,0.24323223528507001,0.3422050588243805,0.647529647069271,0.9266939215754688,25.523828901966816,0.06394815685994484,0.0779379215821916,0.11914184314710106,0.07487435295593504,0.10439678430831169,0.1488229019485195,0.08811917646751538,0.13575376472527198,0.22424792156408668,0.15289701961948737,0.18240847058740317,0.32298564705449867,0.23076090197005839,0.2722868235443956,0.47652168626276153,0.033320705885724985,0.027976901950679867,0.0259160392178113,0.0674434509767475,0.0683338823499998,0.06948349018142942,0.16550568626353554,0.2144348627303307,0.2603054509781228,0.16570117646444807,0.20439949019026815,0.23365874509966256,0.16599799999419382,0.1955918039140456,0.2492117647118136,0.2559039215831196,0.3580168235417017,0.22793678429854267,0.42685572551015544,1.5723563921546526,0.0837920392023436,0.08300952942055814,0.08441992156554524,0.0967143137263609,0.0881599215562364,0.0977789411805205,0.10042309804417777,0.09623780392347743,0.10102756862419054,0.09518490195749145,0.09970525489645261,0.09882486274685054,0.10173858823619929,0.10061458823745888,0.10332843138124137,0.053261882356167134,0.05543772548930172,0.03033129411621713,47.12132912412784,44.99947579082889,44.96057360132412,44.96164291689368,44.741808531422,44.70069434817146,44.79917364359876,44.601134621628134,44.58179357078571,44.936566244077305,44.4836877577195,44.128532709629646,43.45630892184446,42.90963745444738,44.807339124029134,44.19906974436289,42.44546334977574,44.86649383918614,44.78769573032297,44.692568883708354,44.55470498405986,44.52411277708946,44.45525196676256,44.39564596041923,44.36945773295673,44.30654596309585,43.50588648217053,43.4594457290558,43.420403483665616,43.07193110210821,43.05107833694707,43.01379679411634,45.252774640476545,45.52932499021165,50.19963521444246
03 - Unknown Artist - Track 3,0.05249623686834221,0.07301989126778179,0.17061659537237256,0.18393352421109696,0.27921519182259896,0.3763350048097903,4.756746008801737,6.7550309156051,8.477693790374888,0.1353321909357238,0.16082300039010866,0.2230878772363491,0.2378322803129587,0.32777451119495987,0.6445965684971225,0.8847676753003907,26.743410082472796,0.053133999457028236,0.06657733061300296,0.10735215000576018,0.064217404699539,0.09227203325994612,0.1362679156997051,0.07630918067942721,0.12276907145383412,0.209472080111043,0.1342527830551046,0.16527793529815601,0.2899185764844845,0.2074734793380474,0.24654173344422545,0.41835346910374044,0.027757914590907203,0.021606982594652942,0.019198394889016732,0.060042772077772824,0.06238476071418723,0.06108803441745153,0.16467669448976072,0.21469998212050462,0.2610062410624458,0.15452246782366238,0.18772647196708028,0.20484388406467557,0.1662152966090295,0.18728119298391308,0.23734132600266164,0.2479850276102866,0.34258090882103354,0.22351692021736003,0.3845704700685222,2.1183666138591106,0.07425846935555809,0.07474468046015251,0.0752309008054535,0.08254453806889141,0.08784618632551115,0.08445086357878216,0.09042993983677913,0.09066626806005995,0.08828858979669738,0.08357217750390981,0.08519783088398133,0.09217382206187401,0.09445812478298783,0.09632952808050817,0.09468333929405964,0.04894261304677058,0.05133073006864896,0.026592759131811347,37.06496210947036,34.87921180922119,34.82800701665681,35.295282001284,35.081133999321835,35.05890791888556,34.817124602686015,34.64098590288677,34.62653716849128,34.913867071937084,34.561183979803516,34.185667840882736,33.42804803877641,32.56376569388026,34.523659516910556,33.87416568596349,31.23397999325691,34.63441934464449,34.63057103121738,34.54394466781528,34.28312053414548,34.264970772630846,34.210416657974505,33.992071782461416,33.96755044671361,33.92207619224492,33.083336752542166,33.05173571515176,33.03457764650066,32.35130231182476,32.35114768740893,32.334172547304014,35.304558417932455,35.760793219269644,40.8934783698473
04 - Unknown Artist - Track 4,0.05641763076585568,0.07766073541764913,0.17412115201516024,0.18945747382726003,0.2876553691524593,0.3853725729146537,4.133178247881799,6.086083213125427,8.200749704276909,0.13470879374246877,0.1601472548385999,0.22305250137064347,0.24173180952421314,0.3292897709242343,0.6476613196423451,0.9116967412943495,25.79392210265831,0.05846914398474098,0.07213249041397586,0.11594050950889578,0.06887962695812834,0.09963280776902148,0.14282766654352055,0.08268511439697651,0.1303130030903374,0.22074751881906732,0.1462056634302441,0.17716200483910713,0.319270787050677,0.22800967225328853,0.270157504110021,0.48565619139885235,0.03145064337259727,0.024871108740463263,0.02256153890343567,0.06358565822578108,0.06596691526595175,0.06488983295236954,0.16462399383064089,0.2145994705819872,0.2599569545026825,0.16156492166960107,0.20155761518749224,0.23026283142572812,0.17058324918639067,0.18910877499128864,0.24051407921971113,0.25026081186502375,0.35080880529299835,0.22063839761693452,0.414192925769406,1.5356980828517866,0.07793251060291635,0.07764082830441325,0.0897157179500479,0.08303177923113544,0.08566364934613266,0.0848041386489843,0.08917456939493236,0.0957084258922163,0.09470651452564881,0.09710306973009662,0.09648302847520109,0.09645641354662284,0.0953993898019015,0.09983685553799466,0.0938867314891085,0.05132485358240249,0.053030545861497864,0.02840637171973018,43.137217116269774,40.896750790295066,40.85150941241948,40.968009456407216,40.704897515926724,40.66774468112667,40.71425687044087,40.5200484242944,40.4952847743689,40.809701433401706,40.389400176510314,40.0095894744233,39.44307252962475,38.76560246103675,40.68568937276329,40.073579000974405,38.31870370952803,40.77742454017356,40.635797757277864,40.54213429297424,40.41002878265243,40.361385898870196,40.29505714701654,40.18143114858931,40.150153976714904,40.0784745689778,39.44514434479833,39.39582680243382,39.36625835675053,38.937814584097026,38.91259584629148,38.87900398215388,41.137997659449915,41.47219653476707,46.37773231205889
