"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",SRLA -m 0 -V 0 -B 2048 encode time,SRLA -m 0 -V 2 -B 2048 encode time,SRLA -m 0 -V 0 -B 2048 -P 3 encode time,SRLA -m 0 -V 0 -B 4096 encode time,SRLA -m 0 -V 2 -B 4096 encode time,SRLA -m 0 -V 0 -B 4096 -P 3 encode time,SRLA -m 0 -V 0 -B 8192 encode time,SRLA -m 0 -V 2 -B 8192 encode time,SRLA -m 0 -V 0 -B 8192 -P 3 encode time,SRLA -m 2 -V 0 -B 2048 encode time,SRLA -m 2 -V 2 -B 2048 encode time,SRLA -m 2 -V 0 -B 2048 -P 3 encode time,SRLA -m 2 -V 0 -B 4096 encode time,SRLA -m 2 -V 2 -B 4096 encode time,SRLA -m 2 -V 0 -B 4096 -P 3 encode time,SRLA -m 2 -V 0 -B 8192 encode time,SRLA -m 2 -V 2 -B 8192 encode time,SRLA -m 2 -V 0 -B 8192 -P 3 encode time,SRLA -m 4 -V 0 -B 2048 encode time,SRLA -m 4 -V 2 -B 2048 encode time,SRLA -m 4 -V 0 -B 2048 -P 3 encode time,SRLA -m 4 -V 0 -B 4096 encode time,SRLA -m 4 -V 2 -B 4096 encode time,SRLA -m 4 -V 0 -B 4096 -P 3 encode time,SRLA -m 4 -V 0 -B 8192 encode time,SRLA -m 4 -V 2 -B 8192 encode time,SRLA -m 4 -V 0 -B 8192 -P 3 encode time,SRLA -m 6 -V 0 -B 2048 encode time,SRLA -m 6 -V 2 -B 2048 encode time,SRLA -m 6 -V 0 -B 2048 -P 3 encode time,SRLA -m 6 -V 0 -B 4096 encode time,SRLA -m 6 -V 2 -B 4096 encode time,SRLA -m 6 -V 0 -B 4096 -P 3 encode time,SRLA -m 6 -V 0 -B 8192 encode time,SRLA -m 6 -V 2 -B 8192 encode time,SRLA -m 6 -V 0 -B 8192 -P 3 encode time,SRLA -m 0 -V 0 -B 2048 decode time,SRLA -m 0 -V 2 -B 2048 decode time,SRLA -m 0 -V 0 -B 2048 -P 3 decode time,SRLA -m 0 -V 0 -B 4096 decode time,SRLA -m 0 -V 2 -B 4096 decode time,SRLA -m 0 -V 0 -B 4096 -P 3 decode time,SRLA -m 0 -V 0 -B 8192 decode time,SRLA -m 0 -V 2 -B 8192 decode time,SRLA -m 0 -V 0 -B 8192 -P 3 decode time,SRLA -m 2 -V 0 -B 2048 decode time,SRLA -m 2 -V 2 -B 2048 decode time,SRLA -m 2 -V 0 -B 2048 -P 3 decode time,SRLA -m 2 -V 0 -B 4096 decode time,SRLA -m 2 -V 2 -B 4096 decode time,SRLA -m 2 -V 0 -B 4096 -P 3 decode time,SRLA -m 2 -V 0 -B 8192 decode time,SRLA -m 2 -V 2 -B 8192 decode time,SRLA -m 2 -V 0 -B 8192 -P 3 decode time,SRLA -m 4 -V 0 -B 2048 decode time,SRLA -m 4 -V 2 -B 2048 decode time,SRLA -m 4 -V 0 -B 2048 -P 3 decode time,SRLA -m 4 -V 0 -B 4096 decode time,SRLA -m 4 -V 2 -B 4096 decode time,SRLA -m 4 -V 0 -B 4096 -P 3 decode time,SRLA -m 4 -V 0 -B 8192 decode time,SRLA -m 4 -V 2 -B 8192 decode time,SRLA -m 4 -V 0 -B 8192 -P 3 decode time,SRLA -m 6 -V 0 -B 2048 decode time,SRLA -m 6 -V 2 -B 2048 decode time,SRLA -m 6 -V 0 -B 2048 -P 3 decode time,SRLA -m 6 -V 0 -B 4096 decode time,SRLA -m 6 -V 2 -B 4096 decode time,SRLA -m 6 -V 0 -B 4096 -P 3 decode time,SRLA -m 6 -V 0 -B 8192 decode time,SRLA -m 6 -V 2 -B 8192 decode time,SRLA -m 6 -V 0 -B 8192 -P 3 decode time,SRLA -m 0 -V 0 -B 2048 compress rate,SRLA -m 0 -V 2 -B 2048 compress rate,SRLA -m 0 -V 0 -B 2048 -P 3 compress rate,SRLA -m 0 -V 0 -B 4096 compress rate,SRLA -m 0 -V 2 -B 4096 compress rate,SRLA -m 0 -V 0 -B 4096 -P 3 compress rate,SRLA -m 0 -V 0 -B 8192 compress rate,SRLA -m 0 -V 2 -B 8192 compress rate,SRLA -m 0 -V 0 -B 8192 -P 3 compress rate,SRLA -m 2 -V 0 -B 2048 compress rate,SRLA -m 2 -V 2 -B 2048 compress rate,SRLA -m 2 -V 0 -B 2048 -P 3 compress rate,SRLA -m 2 -V 0 -B 4096 compress rate,SRLA -m 2 -V 2 -B 4096 compress rate,SRLA -m 2 -V 0 -B 4096 -P 3 compress rate,SRLA -m 2 -V 0 -B 8192 compress rate,SRLA -m 2 -V 2 -B 8192 compress rate,SRLA -m 2 -V 0 -B 8192 -P 3 compress rate,SRLA -m 4 -V 0 -B 2048 compress rate,SRLA -m 4 -V 2 -B 2048 compress rate,SRLA -m 4 -V 0 -B 2048 -P 3 compress rate,SRLA -m 4 -V 0 -B 4096 compress rate,SRLA -m 4 -V 2 -B 4096 compress rate,SRLA -m 4 -V 0 -B 4096 -P 3 compress rate,SRLA -m 4 -V 0 -B 8192 compress rate,SRLA -m 4 -V 2 -B 8192 compress rate,SRLA -m 4 -V 0 -B 8192 -P 3 compress rate,SRLA -m 6 -V 0 -B 2048 compress rate,SRLA -m 6 -V 2 -B 2048 compress rate,SRLA -m 6 -V 0 -B 2048 -P 3 compress rate,SRLA -m 6 -V 0 -B 4096 compress rate,SRLA -m 6 -V 2 -B 4096 compress rate,SRLA -m 6 -V 0 -B 4096 -P 3 compress rate,SRLA -m 6 -V 0 -B 8192 compress rate,SRLA -m 6 -V 2 -B 8192 compress rate,SRLA -m 6 -V 0 -B 8192 -P 3 compress rate
01 - Unknown Artist - Track 1,0.35597713749174226,2.322343473144069,0.47010110279468276,0.32381427022470516,2.241810812419363,0.4492176698489583,0.3202110451437434,2.1750404821078018,0.4508669637428731,0.3670116163737823,2.525629175150477,0.4874691574310084,0.34223495887582916,2.4397755467704414,0.46675211567628827,0.3397410546649774,2.3751921627486627,0.4681681564522738,0.39552524264403305,2.897754112342005,0.5166285933398308,0.37228993996633974,2.743922275408708,0.496198913071962,0.3728958228649525,2.6978735091116897,0.5019854944061732,0.6247403604565984,6.283259110621793,0.7387511702323962,0.525210423663372,4.714513289079991,0.6506289173023925,0.5454698648596829,4.353487709254797,0.6954871604995028,0.06390492687487966,0.06162600825147403,0.06651700473479814,0.06188954856904926,0.06186043159922867,0.06610791923443265,0.06240195170736297,0.061527669054705775,0.06598938857123379,0.07480907359938005,0.07476377172047853,0.07910392589740205,0.07423926956305896,0.07427792690596774,0.07898115066165953,0.07416500938824654,0.07419240075945585,0.07824596699602226,0.07803679290293507,0.07813419987929944,0.08206822389386513,0.08030843228316396,0.07982306349615487,0.08352341787197431,0.08284309628715368,0.08117339274910006,0.08635766138663187,0.08355148361668031,0.0837430843902668,0.08487251738840941,0.10101873032889384,0.10080199931400952,0.10481066035500551,0.13967486049854339,0.1337452727900737,0.1516903512020987,56.45397229610163,56.44513000440091,54.50329685700606,56.34894646972853,56.3268272476613,54.40082567035118,56.30602582389942,56.27278852193179,54.50267506309578,41.47725190029439,41.468863866712574,41.84576655045605,41.34394175961155,41.28573600272195,41.694111802817794,41.376599994917704,41.232334812520705,41.73840759141776,40.95908168797819,40.95096688390849,41.61527665556283,40.71760526813485,40.651792936556106,41.34158951212453,40.75318469797794,40.554086962544616,41.33166329758562,40.77487777195838,40.76501339949011,41.53147502783455,40.25982777320646,40.20578342547052,40.993689635111544,39.98375240144004,39.84762226233586,40.57728111223976
02 - Unknown Artist - Track 2,0.3527219136977889,2.3368075355965625,0.47092339703575287,0.323874960123874,2.24211961691238,0.45003262477238726,0.3198582634923881,2.1847069570541517,0.45169396514268734,0.3661727155400244,2.5237926732010494,0.4892021865830544,0.34172519067412893,2.4399388539281186,0.46706414755147485,0.33957391323115865,2.3751594118835255,0.4703964852252137,0.39935032479559623,2.913388495779244,0.5171393440261332,0.3746700330590779,2.769308826087084,0.49662097265574795,0.3758036786246877,2.724420359306525,0.5057873372402453,0.6262955006829561,6.280370370907379,0.7391190079183756,0.5234177638233973,4.707983636865916,0.6454161398384044,0.5424917060577977,4.3401213496503,0.6907570252002659,0.06324464228988551,0.06155119914039996,0.06576499289278154,0.06137402488299084,0.06129181045914447,0.06576888611668873,0.06214381724124218,0.061123183887357414,0.06602148884757962,0.07425859118803481,0.07472057970558714,0.07877475132524941,0.07430883333910596,0.07417974799093988,0.07883821738316595,0.07391505234440353,0.07394959110293074,0.07863072383500722,0.07897665516428358,0.07828279152032636,0.08233470115758879,0.080678515499311,0.08062540237179582,0.08392457152835436,0.08343939767379589,0.08188284807030416,0.08692111329991949,0.08367536177422825,0.08361339645457386,0.08474375779348564,0.10033385291311282,0.09905237363340713,0.10435431226842572,0.13830299712987243,0.13179639967366022,0.14967436127889938,57.59769609560853,57.58936235744548,55.62260878185383,57.494102021526416,57.473312680031064,55.541626399467546,57.452644170957655,57.4196359590383,55.696563156024496,44.253729098148725,44.249072117967955,44.23481019322584,44.10568225561088,44.06256727468391,44.077667628476306,44.11262272196978,44.005720552090736,44.15694602711628,43.57444004652788,43.570021032239325,43.960545255071075,43.3023833825335,43.24748600748224,43.66736264497733,43.30898477832059,43.132462172670515,43.676248759926445,43.41240993360875,43.406469417190706,43.901725758241945,42.903924908321486,42.86139189579412,43.368441727824724,42.61304551214822,42.50657735260109,42.98099873175276
03 - Unknown Artist - Track 3,0.35738361739346874,2.325819765304703,0.4713815749201804,0.32309585079884456,2.244286381994265,0.4488053379655964,0.32000476576472753,2.1696112037552098,0.4518598421103722,0.3648112358865711,2.5244432009413416,0.48808706128930934,0.3414912181389246,2.4389370964771953,0.4661198249725773,0.3371808007703468,2.371290405737496,0.46871057342362665,0.39607412563797445,2.8800512683195674,0.5132136562536982,0.36924167712111583,2.71964549738209,0.4910710657562186,0.3722121645603827,2.665368501576555,0.5000841697031693,0.6174319635261329,6.228939903918864,0.7350513601161747,0.5132319696459879,4.630896468897038,0.637145000152258,0.5236667023662762,4.187515957283733,0.6747293381476577,0.06456001193231803,0.0621481059338934,0.06573707199720191,0.06202968850479206,0.06219281080471805,0.06689492365754716,0.061912510327273254,0.0615186117313238,0.06595593769910897,0.07503387289297925,0.075063683792185,0.07857583917326977,0.07421920229081785,0.07514382209792396,0.07942550717719571,0.07393057128161035,0.07416887488094513,0.0781955723514073,0.07782166243247987,0.07796500259898402,0.0809573146450276,0.07912723753677621,0.0790806967361969,0.08296258529234374,0.08185306447377325,0.08078606835693908,0.08502265842747472,0.08195064410550242,0.08197529145477785,0.0830742556839381,0.0963310409715859,0.09617390838597241,0.09849741439810164,0.12939291178521406,0.12512818610020496,0.14249690186945704,58.49324632935374,58.482617408979884,56.47652252324169,58.387437183340786,58.36512555734181,56.343813231993714,58.34692499479222,58.31333656563529,56.38885149324492,43.67752006498186,43.66807242486498,43.997140937506686,43.53246197175241,43.47426570552432,43.829466791427905,43.54396254165509,43.41657551641072,43.83209214776994,43.265497837554605,43.256942662477684,43.84370069813663,43.00757414003708,42.949757756887216,43.56751269056665,42.9907200808641,42.83692207489639,43.50634631109333,43.145558862388604,43.13591607685482,43.79603057569615,42.64914534893796,42.602037245298156,43.31397456105161,42.33961869834468,42.22712387034871,42.88640054486682
04 - Unknown Artist - Track 4,0.35510311979848685,2.3263857067347544,0.4668615884655543,0.32099859980120593,2.2432325059608473,0.4447473345622157,0.31597048900235575,2.175375286789046,0.44576925975193926,0.40881042781877336,2.8474012832344147,0.520737038328898,0.3635370349545126,2.66365725516147,0.4809746895936936,0.34908046358389977,2.498262196905859,0.4744770626195748,0.4328535809078617,3.175389688021975,0.5427648510940322,0.382385369337987,2.8806901963672207,0.49986946668727544,0.3679746671029643,2.6940902368547373,0.4934564251654889,0.6544195195477079,6.514221175039804,0.7637956442035155,0.5172889075080448,4.707936327542881,0.633338577984343,0.490163345181419,4.004745855639938,0.6387321404467785,0.061428050068868006,0.059744185525108656,0.0632461649197547,0.06038753430255183,0.05985471681022448,0.06327958410106604,0.05994431261072893,0.05942866863113898,0.06315557380006397,0.07266048855119808,0.07318245872537144,0.07651076296667524,0.07272066332202926,0.07268272301960221,0.07619153470832615,0.07304167978877266,0.07239391110765779,0.07590439290998424,0.07454496941008905,0.07428026451994905,0.077820605964146,0.07553293557904044,0.07486053691155328,0.07862512933561296,0.07600724841413911,0.07588708443983652,0.07945467070060976,0.0767069087681857,0.07677524854948915,0.07952306109186268,0.08658738022425547,0.0862217936032598,0.09006481398244497,0.10879571730433814,0.10815063093090499,0.12286495681260767,47.72783618574658,47.69686509649572,46.4880506202538,47.63411576655574,47.59286497255398,46.35002676797246,47.59714364024916,47.55190586242505,46.33072207729412,32.24749883469902,32.245583284544026,32.784184728274,32.000549704557706,31.993408709546554,32.56680947381568,31.89833028675107,31.87618813361149,32.46765608386571,31.944989186657214,31.94313579863905,32.58986971389924,31.638391182692992,31.629595718501538,32.30464687794015,31.50208109270708,31.475417361368393,32.165730759910126,31.875537822026168,31.873370754302147,32.54711937788898,31.41207031857426,31.405074687329233,32.122830278430904,31.075368626253116,31.059065888613485,31.70445518903697
05 - Unknown Artist - Track 5,0.3475997460591769,2.3222323560465634,0.4702215882852458,0.32159968009915557,2.2440505903299677,0.44924251368708706,0.3162184882251717,2.1719013092798343,0.450328276498203,0.36740782270227884,2.5458025855815065,0.49074187058767593,0.342685871644296,2.462128405118986,0.46851891366180004,0.33971771321194444,2.3912546335988107,0.4710263669932702,0.41173919926287667,3.0399479750671348,0.5282103917938605,0.3856669414947232,2.8870829265876328,0.5068717103092907,0.38038546270135387,2.805250263834199,0.5121736033228301,0.6517801101491807,6.527820114109487,0.759710474242467,0.5675564111857765,5.059946540466383,0.6850267627470817,0.5935567574700497,4.790193555833935,0.7316226832008897,0.061422465536134174,0.059278692038827824,0.06380393773473796,0.059256810238186505,0.059399099663864335,0.0636299386602039,0.05950303410045875,0.0590970252610783,0.06399455840834088,0.07456485390223454,0.07514824219937344,0.07855359145106403,0.07443321680772404,0.07432954620317886,0.07832558868195688,0.07386549370107871,0.07410030670844328,0.0797794835428584,0.08186526284445456,0.0817401556615501,0.08399412967500769,0.08357685838654721,0.08318511311880081,0.08670249323798117,0.08526279599190117,0.0840741540795864,0.08914247081378929,0.09478067079963691,0.09411673042662215,0.09154119121437854,0.11912095178513364,0.11414027768451675,0.11943334872302655,0.1616111239357035,0.14667259745529665,0.16860774355242011,58.409833938546626,58.39862675817375,54.36660034030044,58.314562155308394,58.2910625050128,54.51005860563569,58.284842421753055,58.24868292961995,54.91256267991175,45.99856547343396,45.97297563585722,44.472094971529145,45.938566067959506,45.82930610830124,44.65333365240784,46.04333062930154,45.81710524766008,45.09387427430025,43.80022595709732,43.72173830294367,43.88164510826067,43.73227617468805,43.418260122872354,43.79331880422592,44.03265553059254,43.42028767931816,44.09001509309653,43.18140712978212,43.12238551316996,43.67801169719655,42.600691220072974,42.42225690495612,43.11514370598431,42.363189483703174,42.09529309641802,42.81668907978103
06 - Unknown Artist - Track 6,0.35628128609548043,2.3455963960459396,0.4742032929803174,0.3265949133715571,2.2610037427812606,0.45301127832094,0.3207144602386897,2.1869760939577447,0.45447684362600166,0.3664829353604605,2.5394483896046314,0.4893806974694288,0.3412030208787601,2.443377637715976,0.4688198189678438,0.33745520324259565,2.3803215126628987,0.4702583462923911,0.38820911261616453,2.8441514826746923,0.5100425977350134,0.3622176810312926,2.663719557974672,0.486996357175829,0.3638529709010349,2.6181555419826665,0.4951539315866513,0.6068117392273855,6.177480186583326,0.7293423145272747,0.4878042647715342,4.462637272322469,0.6211978120847618,0.49464155930681386,3.9543915093295614,0.6464653987128502,0.06134541870448271,0.06118449022467896,0.0658521657048442,0.061825005553250025,0.06099310861862437,0.06584190359854841,0.060972967569564794,0.06064666259419912,0.06518387938747358,0.07282073522982263,0.07298667814219997,0.07779772323422426,0.07336352732198058,0.07300586961333637,0.07746668702863209,0.07323110284411008,0.07267548311908238,0.0772737227902813,0.07425508107429671,0.07433391270373417,0.07861992447936955,0.0758281152809958,0.07630638605012158,0.07980586406180588,0.07915998445105955,0.07819238116309364,0.08276984673328419,0.07527169591497379,0.07547843736169325,0.0790479509106654,0.08534788427352,0.08494846179564532,0.09049176477307064,0.11577760995133754,0.11463513438372944,0.1290001332759366,52.64856382294936,52.63875148360871,50.489111589851696,52.54624822797084,52.519302543075035,50.34933250215862,52.52192325930894,52.47109647480707,50.41827008854073,37.98575471206668,37.98042733899443,38.362133005759226,37.75024817946635,37.73057250306373,38.0905323637017,37.6724643772417,37.62727000773768,38.00197387624727,37.8704998619095,37.86599128558493,38.286780094916956,37.53918183260198,37.522121206019804,37.92914724141426,37.378459680691556,37.335096507143405,37.75915861466164,37.836202949927305,37.83140255330858,38.26503617759462,37.380360762413666,37.36358628971216,37.7611116385073,36.97968866533335,36.9482797354208,37.27702804621572
01 - Unknown Artist - Track 1,0.3512809362336344,2.3150854112639725,0.4717712115176358,0.3234429150885019,2.237158737281906,0.45049873661815026,0.31764899594302803,2.169351369772142,0.4511114768263387,0.3675141133064162,2.5396985836833705,0.49240916949373104,0.3445578828379883,2.458811972205136,0.4701854179127002,0.34046833233627477,2.398379214042955,0.47361571580656386,0.40175260988228173,2.9144716404019246,0.522738396832907,0.3848915153910889,2.826728123547239,0.509785540926598,0.3847403251550163,2.7968942748861085,0.5161350322481718,0.6382735055509251,6.37347700977366,0.7562077099553015,0.5909335560857646,5.129038366912002,0.7092449132267988,0.643524087372741,5.1526003889886205,0.7760135813560126,0.05986786022976019,0.05821540660795019,0.06318531817369565,0.05801801981525151,0.0581619456082914,0.06182646785043417,0.05822918744535779,0.05827599906932045,0.0618406808983022,0.07604802513449696,0.07537367843670492,0.07917235188395375,0.07494441119522931,0.07683369904923425,0.0789876820272934,0.07432279406717253,0.07475598444026046,0.0788363588002235,0.0799112308007197,0.07899127268987902,0.08227796063615722,0.08350249351858977,0.08195210785169403,0.08676143693075762,0.08622318638393407,0.08448089965965182,0.08970024602862452,0.0907840946880038,0.09066691601715608,0.08988411795865316,0.13130884699785045,0.12857583615736468,0.13206539663407274,0.18626650708358036,0.17637575636736896,0.1902585610740541,60.28354950149097,60.27801589419381,58.7517891400092,60.18142466790911,60.167149619656854,58.70093216027392,60.13993863350131,60.11945618210423,58.82854626670547,53.99588360682785,53.89238479513986,53.85681308624244,54.06041063211022,53.80935147215629,53.91303027686092,54.212540541306666,53.8480066216321,54.105070574790645,53.6417468753872,53.55029534498102,53.67353590381957,53.52918621632703,53.2973533261409,53.544281128058266,53.67821666462423,53.267587569995136,53.6851921007982,53.28922913872456,53.19427858176962,53.48023753951695,52.626345956680225,52.39601709191069,52.854213346269205,52.305098943951755,51.87636405964279,52.485733715805615
02 - Unknown Artist - Track 2,0.3573602745104033,2.314975882353097,0.47179509804004294,0.3250703137246983,2.2320555686247627,0.4494764313715802,0.3197607843150549,2.1622262352920028,0.45355541176760716,0.3654635294087176,2.513876039216377,0.4891792156815748,0.3415908627485966,2.422393137256971,0.46680745098045934,0.3383800784278862,2.3600076470585702,0.47145541176409916,0.39734768627015143,2.877071764703621,0.5178814117657478,0.371574470590727,2.7266769019564996,0.4971850588267176,0.3728620000023797,2.6801620784338893,0.5036608627472329,0.6174270980409347,6.209863843139508,0.735716235295495,0.5168357647056052,4.619107647061658,0.6448052156837566,0.5293392941159397,4.212115098038624,0.6848539607873296,0.06329733333390608,0.0641431764690388,0.06787286274701211,0.06342011764668402,0.06365670588018153,0.0682679215713185,0.06422756862365549,0.06360086274570693,0.06818254901707976,0.07629070587926452,0.07667325490711294,0.0797938431416839,0.07552960784261242,0.07599749019730143,0.08006058823358377,0.07539321568579979,0.07579635294021893,0.08016639215616035,0.08071262745515388,0.07975019608149488,0.08263125490082208,0.08192239215656859,0.08117149019609297,0.08478890195963722,0.08358752941050768,0.08315239215210336,0.0875208627457694,0.08322894117822323,0.08321152941218815,0.08541882352551956,0.09955270587941449,0.09870584313438147,0.1030852549022301,0.13364709803592598,0.12875592156870327,0.1479355686266596,58.87238472311307,58.86196723296967,57.468704623560456,58.7663690871851,58.74449369174953,57.382772556978516,58.72341861565917,58.68998527501329,57.475016030841104,44.78933860808993,44.78389865965184,45.14780608902521,44.63392770679785,44.59651944673746,44.99826864248321,44.61855935226065,44.527331839344605,45.00876171834255,44.29153775226399,44.28547977944266,44.904742434559,44.03325691469245,43.98234771190033,44.6190306514306,43.99888319881595,43.85489463306736,44.56224354766982,44.18724724914679,44.18027557840635,44.854673567079345,43.71225327154986,43.67337109002872,44.34861830645135,43.40291650597292,43.31317847628267,43.92158791183433
03 - Unknown Artist - Track 3,0.3514529624232908,2.3312869224327084,0.47244827777435394,0.32233604960891216,2.2489527867501717,0.45101281806281046,0.31890907773956073,2.1745018522853083,0.4498595529846627,0.3810370395480548,2.6502632464623006,0.5017919399370327,0.34917929261778646,2.5265034086983724,0.47422595418902813,0.34125838613933773,2.4198602895848245,0.47291792001626237,0.41251296291717704,3.025027010700081,0.5314821428577648,0.3793803287896399,2.8298616734068913,0.5024295268500382,0.3753018270121898,2.743317298683709,0.5033505227081352,0.6400897171952954,6.4071792587155585,0.759348306746634,0.5388137636233127,4.824062299669231,0.6638958744272392,0.5534333177188044,4.449422210167408,0.7015008259786025,0.06305790781159346,0.059404001676209316,0.06359129210022862,0.05958014756587151,0.05954071330000974,0.06363001442400695,0.05964296501317139,0.059375671877813584,0.06376447926445922,0.0726493848327907,0.07303288192249183,0.07651688322813636,0.07209260811662899,0.07249392228422978,0.07630463163754565,0.07195142142100008,0.07214028058675519,0.0764862789094726,0.07612773682144622,0.07593819345187304,0.0795206556040143,0.07814218526491955,0.07787110126289684,0.08152935302487112,0.07999068617760127,0.0797438822181782,0.08387504931180889,0.08208910695864134,0.08204297857452283,0.08389608400292588,0.10147205236983137,0.1013239773907792,0.10625265977037078,0.13871237795271302,0.1378692613042935,0.1505273281473231,49.66544151015409,49.65583225789868,47.58406898039444,49.55754511694103,49.53583217990508,47.39067105088561,49.51401336445558,49.482247219638104,47.36028394619708,34.62570481739863,34.62419631208084,35.0441405009483,34.37299505858106,34.36866819569073,34.76062274454082,34.264976014136465,34.25126790448526,34.65188823457893,34.07978785488216,34.07823532091716,34.69416517061866,33.684087726115145,33.67441924484622,34.2810737262004,33.50063083616754,33.47027098730824,34.09171332847159,33.89246797529171,33.89013760189251,34.60561936785807,33.1696360459935,33.162871358838736,33.866337497318185,32.62868645835428,32.61726154855168,33.23569421718732
04 - Unknown Artist - Track 4,0.3549897940049527,2.323301275207345,0.4704415842013035,0.3249409999731702,2.2415274516037216,0.45078317128796686,0.31873167248792766,2.170783091947692,0.4514902411963633,0.3658906191426302,2.5195684270509764,0.4875315700637769,0.34153975649720136,2.433883983439497,0.4658959060598029,0.3374555985114019,2.3785088139411252,0.46788213698593506,0.393360491618449,2.8723197758289474,0.5120043853326502,0.36884007241709393,2.712514728368958,0.49047890280205214,0.37026974842280125,2.6681610167038077,0.49851027090977446,0.6170331857122081,6.214843354202535,0.7336111119124258,0.5142339805540402,4.614115699201036,0.6377100199084476,0.5239861010930926,4.199326490869489,0.6687937018565363,0.06277370820022393,0.061507659905071684,0.06600817922188759,0.06186382389433709,0.06136874296692913,0.06595826000521428,0.06186875739286298,0.06144713799486087,0.06543645595764229,0.07430381408494884,0.07382996018608178,0.07838760422250547,0.0740724156814654,0.07382444245614149,0.07804437984928635,0.07414927440147429,0.07379267764901458,0.07828746285271866,0.07689097977677285,0.07675777531027621,0.08066586365076885,0.07939163613470775,0.07820642797528427,0.08219362539872843,0.08200089437516375,0.08063353625054469,0.084604245405417,0.08103301982013174,0.0807983324207798,0.08284400334756258,0.096683354491409,0.09590686939372442,0.09895468970856339,0.1303437941794899,0.1257619586871166,0.1390642076096676,55.28191676047692,55.26897435556489,53.0565676933531,55.183356501517935,55.15620946681904,52.915236533581634,55.14784492705076,55.10872944910226,52.9561919894818,40.67217902799019,40.66438488138692,40.91557744469652,40.51483270012741,40.469613401987246,40.74390136854616,40.54809214158174,40.409005754911306,40.7885772598646,40.26908033829491,40.261682400277245,40.732484918682054,39.9970420514449,39.95139587841995,40.456873394649904,39.98653332403695,39.826629426821356,40.436037484325226,40.120991552832955,40.11273005182997,40.670071639909544,39.60749541268964,39.566688381677565,40.17322116696897,39.30917856073392,39.1848279441524,39.791504247724035
