"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",SRLA -m 0 -V 0 -B 2048,SRLA -m 0 -V 2 -B 2048,SRLA -m 0 -V 0 -B 2048 -P 3,SRLA -m 0 -V 0 -B 4096,SRLA -m 0 -V 2 -B 4096,SRLA -m 0 -V 0 -B 4096 -P 3,SRLA -m 0 -V 0 -B 8192,SRLA -m 0 -V 2 -B 8192,SRLA -m 0 -V 0 -B 8192 -P 3,SRLA -m 2 -V 0 -B 2048,SRLA -m 2 -V 2 -B 2048,SRLA -m 2 -V 0 -B 2048 -P 3,SRLA -m 2 -V 0 -B 4096,SRLA -m 2 -V 2 -B 4096,SRLA -m 2 -V 0 -B 4096 -P 3,SRLA -m 2 -V 0 -B 8192,SRLA -m 2 -V 2 -B 8192,SRLA -m 2 -V 0 -B 8192 -P 3,SRLA -m 4 -V 0 -B 2048,SRLA -m 4 -V 2 -B 2048,SRLA -m 4 -V 0 -B 2048 -P 3,SRLA -m 4 -V 0 -B 4096,SRLA -m 4 -V 2 -B 4096,SRLA -m 4 -V 0 -B 4096 -P 3,SRLA -m 4 -V 0 -B 8192,SRLA -m 4 -V 2 -B 8192,SRLA -m 4 -V 0 -B 8192 -P 3,SRLA -m 6 -V 0 -B 2048,SRLA -m 6 -V 2 -B 2048,SRLA -m 6 -V 0 -B 2048 -P 3,SRLA -m 6 -V 0 -B 4096,SRLA -m 6 -V 2 -B 4096,SRLA -m 6 -V 0 -B 4096 -P 3,SRLA -m 6 -V 0 -B 8192,SRLA -m 6 -V 2 -B 8192,SRLA -m 6 -V 0 -B 8192 -P 3
classic mean encode time,0.36369928047818945,2.360611916936896,0.4718518939883758,0.32834511578429454,2.266214952270785,0.44612932415960116,0.3267120367641504,2.2029733028769334,0.45226135478080964,0.3913313121895396,2.7156046984815703,0.5056452148597701,0.3618996197023939,2.6153108864856005,0.478714227007458,0.36263678498942303,2.5437032024555144,0.4857072475726357,0.4244324628484053,3.1019687917768834,0.5365615323250456,0.3943830198658977,2.9461328999538194,0.5112799284199135,0.396049792690953,2.8792909295256273,0.5175457379839098,0.6521212672422929,6.49375446997535,0.7647869389913975,0.5546925698467371,4.9418329906564304,0.6750959017570752,0.5434227371886684,4.439698724964529,0.6809203210813601
genre mean encode time,0.3730224305971142,2.392838845325157,0.4768624765141108,0.33131647467492337,2.2800274510313576,0.4488458778180518,0.3289797610491458,2.215087730455558,0.453808176687758,0.3934051792609181,2.7306464820979883,0.5095621644174823,0.36415189805166515,2.6300175569368105,0.4820884730078201,0.36643527408131243,2.5553087045520564,0.48893667388630324,0.4181130818687883,3.0568112073568527,0.5340548701066051,0.38895207681887595,2.8856394821338966,0.5068718965006932,0.39441660807188467,2.827978758116578,0.5163680899235181,0.6340560711900354,6.386846559870061,0.7519582207569021,0.5114213208223329,4.662704030061369,0.6277851685986319,0.48259568854464546,3.955665999304085,0.6101637980276423
jazz mean encode time,0.3593519741524861,2.4029272966217605,0.47059702407504134,0.3287565370165684,2.2719169933419834,0.44492748741527427,0.32761818809824766,2.2092717623268445,0.45136123323929356,0.38775655818167293,2.700846980712163,0.5023073947472055,0.3602292615936256,2.6182310094670895,0.4764726280938557,0.3627039037960318,2.542883450698721,0.48435115552415975,0.41329247483059495,3.027475896639899,0.5264592604947862,0.38616829368282163,2.871524894019932,0.5022428872818618,0.39331244293701106,2.8344039228099347,0.5137964959768513,0.631110905892894,6.369381429018561,0.7470283588180402,0.5166091091507478,4.687088012015526,0.6359845456488292,0.5035196912218065,4.093583994933589,0.6377886407993297
popular mean encode time,0.36582796755955627,2.3910144128163715,0.47650318581810974,0.33180369050471903,2.2756274812621475,0.4500592783557449,0.3305104065345278,2.2140297059077167,0.4556111633429944,0.39473174328098115,2.7308820836658554,0.5120068947520977,0.36571243889530136,2.6334417955756697,0.48431449198747234,0.36777788147146273,2.555596358328579,0.49118106658198435,0.42163604403739036,3.069684478749325,0.5382205579798878,0.3932961546453751,2.925451868961855,0.5104992144611434,0.3986186964670257,2.855865209588905,0.521497229627891,0.6373366805845047,6.3988376583672855,0.7558300522985805,0.5159270304034239,4.680846888168844,0.6317061451342749,0.48810856205386244,3.9780015464901393,0.6126140711009291
right mean encode time,0.36468816153471806,2.3521021005405003,0.47561441347318006,0.33189758058484686,2.2657061785709525,0.44996798491645157,0.3307514541542267,2.2044201331152826,0.45616115084530434,0.39390277033830184,2.7037062406374535,0.510349347430536,0.3649169066729655,2.601537774966482,0.48377681894001684,0.36703606215504725,2.5323274385203445,0.4896984644258678,0.4259048765532885,3.070457749602473,0.5390291421207605,0.397413045043529,2.924004278168621,0.5141947383955958,0.4011883361417405,2.866352890590321,0.5246033006205855,0.6452421773609973,6.413529364758897,0.7584611352461054,0.5369590581074918,4.773102967160865,0.6527892681448895,0.5231884929562454,4.215520197338389,0.655130656637956
total mean encode time,0.36550598701126347,2.3865871493407838,0.4743726756705729,0.3304201491609739,2.2735271430007242,0.4479274270899104,0.3288819195060458,2.210678173700701,0.45369323185855837,0.39217020973037625,2.7193174734069268,0.5080093479157531,0.3633871608788453,2.6238687435458385,0.48100920188919527,0.3653889307196412,2.548947761837708,0.4880645960561857,0.4196115420605198,3.062011111798729,0.5342760271631855,0.3910866664447611,2.906845697762756,0.5081060841888652,0.3961740943213704,2.8489560896043056,0.5180896701996123,0.6380594313546332,6.405468762610154,0.7544938807523296,0.5228054125555921,4.726811663868529,0.6403185229653237,0.5019133935613219,4.091591593827082,0.632051401242125
classic mean decode time,0.06498680637907814,0.06385438452362412,0.06807693012634136,0.06387046662127097,0.06342688211187673,0.06802857225331932,0.06383789162855263,0.06345355927604765,0.06812658866901034,0.08751977565941187,0.08703974295769606,0.0902639526257432,0.09140668598189033,0.0902512094085155,0.09441236480092033,0.09568673110025018,0.09330422516609711,0.09904765102473058,0.09015565569210893,0.08967901825524839,0.0929261536612481,0.09499865667989915,0.09390008323747327,0.09792395946639144,0.09941067469665381,0.097639939259022,0.10274235774655963,0.09561532353699184,0.09530274298977186,0.09765879586474699,0.11676671906273077,0.1123054103126911,0.11907912068315876,0.1378377375212232,0.13311759777698937,0.14670422993688859
genre mean decode time,0.06306205269094506,0.06368826436037757,0.06653792452286537,0.062471549558909795,0.06227072937292811,0.06631539183026831,0.0626078578237549,0.062292992594741775,0.06631750231495073,0.09016872514493755,0.08937832543114739,0.09321617851481179,0.0943358051142255,0.09226917546123532,0.09730234439353759,0.09944688222443732,0.09468539676602676,0.10238665636451723,0.08870734089616861,0.08832061708922397,0.09201475852728021,0.09194915668815025,0.09053519422594469,0.09528148294662275,0.09691579616787531,0.09321017176729747,0.1003186952403402,0.08960117027228841,0.08917050645363755,0.09285333009212487,0.09679511296138077,0.09474216262362845,0.0998527487598262,0.11228132389459178,0.10475862552099831,0.11733594281735238
jazz mean decode time,0.06421941126553884,0.06610532732599503,0.06712928649173501,0.06351949674689296,0.06338221539964087,0.06726065293690968,0.0635766719973614,0.06339615921765622,0.06722036752565282,0.08947291407507864,0.08897713196617187,0.0923685519587441,0.09291204246486384,0.09159340633707885,0.09563273914550585,0.09783826874968064,0.09428421727118014,0.10047911669991015,0.08852416163982822,0.08808967259327433,0.09159288649204335,0.09181919870766758,0.09071178310228467,0.09466792314801156,0.09738252558902452,0.09404327218851868,0.10021009976577658,0.08999388088431445,0.08954803068950822,0.09294338032269954,0.09919292321987257,0.09719271495186137,0.10392535338450827,0.12115665474186964,0.11342325714388089,0.12909808978993817
popular mean decode time,0.06314135043916744,0.06339241848963198,0.06665104088235976,0.06276989598610111,0.06246922805270941,0.06662867373807785,0.06278916920358205,0.06254448730672592,0.06669830192048923,0.09180075549681477,0.09100281876760397,0.09530373994548516,0.09675080660092858,0.09465116030370123,0.1003056234646502,0.10167987373062402,0.0968260417072182,0.10529968608144927,0.09020480301975323,0.08961567922841451,0.09378265495103247,0.09369766574781443,0.09741076869773246,0.0975094116576917,0.09870317274231938,0.09495305945341603,0.10234064516648683,0.09100503174014243,0.090600426946393,0.09448778161876453,0.09898215024996324,0.0972000118822484,0.10189851949243656,0.11548242087142617,0.10762923536483324,0.11894546430746825
