"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",SRLA -m 0 -V 0 -B 2048,SRLA -m 0 -V 2 -B 2048,SRLA -m 0 -V 0 -B 2048 -P 3,SRLA -m 0 -V 0 -B 4096,SRLA -m 0 -V 2 -B 4096,SRLA -m 0 -V 0 -B 4096 -P 3,SRLA -m 0 -V 0 -B 8192,SRLA -m 0 -V 2 -B 8192,SRLA -m 0 -V 0 -B 8192 -P 3,SRLA -m 2 -V 0 -B 2048,SRLA -m 2 -V 2 -B 2048,SRLA -m 2 -V 0 -B 2048 -P 3,SRLA -m 2 -V 0 -B 4096,SRLA -m 2 -V 2 -B 4096,SRLA -m 2 -V 0 -B 4096 -P 3,SRLA -m 2 -V 0 -B 8192,SRLA -m 2 -V 2 -B 8192,SRLA -m 2 -V 0 -B 8192 -P 3,SRLA -m 4 -V 0 -B 2048,SRLA -m 4 -V 2 -B 2048,SRLA -m 4 -V 0 -B 2048 -P 3,SRLA -m 4 -V 0 -B 4096,SRLA -m 4 -V 2 -B 4096,SRLA -m 4 -V 0 -B 4096 -P 3,SRLA -m 4 -V 0 -B 8192,SRLA -m 4 -V 2 -B 8192,SRLA -m 4 -V 0 -B 8192 -P 3,SRLA -m 6 -V 0 -B 2048,SRLA -m 6 -V 2 -B 2048,SRLA -m 6 -V 0 -B 2048 -P 3,SRLA -m 6 -V 0 -B 4096,SRLA -m 6 -V 2 -B 4096,SRLA -m 6 -V 0 -B 4096 -P 3,SRLA -m 6 -V 0 -B 8192,SRLA -m 6 -V 2 -B 8192,SRLA -m 6 -V 0 -B 8192 -P 3
classic mean encode time,0.41932345850411523,2.8230515389145676,0.5916822844427736,0.3848845736834129,2.689544503647592,0.561387880513643,0.3693614812868446,2.573244210247291,0.557762003615703,0.46145097779732364,3.2345405265072236,0.6319017167144757,0.4258448207725375,3.0774942432258268,0.6014879314734881,0.4096905134135832,2.9512776861590995,0.5959243900430692,0.5003967521210262,3.69592444618098,0.6648636056773345,0.46267968628664896,3.449280787558639,0.6336735320153366,0.4478222888961382,3.319655962428074,0.6310152599130711,0.7454749452235429,7.230708568413501,0.9034066138197501,0.6445771712245576,5.643026977773787,0.8133292290354356,0.6397112040466698,5.194631012897944,0.8148499617681295
genre mean encode time,0.4283332104316074,2.8560983679964607,0.5980272293402429,0.38931100621779824,2.7239937330162314,0.5653060172901596,0.3742094798141924,2.598818507296879,0.559930680526258,0.4639891926095432,3.2605461055638103,0.6359144051488023,0.42715809882693173,3.0983451464671448,0.6030665213461474,0.41101981167008833,2.9652401716943175,0.596470301158545,0.4932493153829571,3.653204559069708,0.6637176914421935,0.45291040601032667,3.3766331360547905,0.627668991879828,0.44233642329262607,3.2489557397343547,0.6265332871291758,0.7218375014111351,7.120829694651499,0.8920486231266983,0.5853141714801876,5.2722402824774734,0.756913987090622,0.5568885998015787,4.5427914789754285,0.7397624330668551
jazz mean encode time,0.42361067718831275,2.8468420631954285,0.5934678368960548,0.3870110032636319,2.7167595420096613,0.5626223097974347,0.3722241878366404,2.5952089321862353,0.5585362551084228,0.4589782322897231,3.2324102579555456,0.6305814148724113,0.42329104213377167,3.072258485091952,0.5989365698775105,0.40809016484827554,2.952229767088736,0.5938447112498519,0.488547523063499,3.622700940772422,0.6573333558295945,0.45132412529672017,3.3665793418555836,0.6236567468045888,0.44257498625471436,3.260138279173757,0.6258927546796242,0.7210068628570546,7.103663591940839,0.8882319035013652,0.5951373436287019,5.319925698088904,0.7647034221694122,0.5870153698402026,4.7447255389039515,0.7732540635064773
popular mean encode time,0.4268315242146079,2.8485823932237113,0.5987361544810792,0.39026010894387514,2.719190206132568,0.5672383978320386,0.3754022445581067,2.5985159658880908,0.5620802388045565,0.4646228760648852,3.259241006808368,0.6378011538826531,0.4275262546390226,3.099804877382466,0.6046887991396279,0.4114547089080578,2.963347661153821,0.5983481484729982,0.4950454197076601,3.6588999652580894,0.6673203129654348,0.45580628222457886,3.393257458789134,0.6321238007804373,0.4454358969638422,3.2654271241004187,0.6316662087845875,0.7234043269511929,7.129208027815907,0.8960840021985452,0.5881593589460876,5.283979809537289,0.7618785924986242,0.5616196514834084,4.566228562617647,0.7449847830869208
right mean encode time,0.42587274267274083,2.8367082513621056,0.5987744484654534,0.39088785698882855,2.7073073968133423,0.5676850850686339,0.37598375021844305,2.5892577154630856,0.5633929878541697,0.4637058552573532,3.2333087226536623,0.6366475466206941,0.4282127777212423,3.0734887531523474,0.6058361997042635,0.4120370138011894,2.9456637531531045,0.5998740890739218,0.5004023085159154,3.6640776806796467,0.6690615804632912,0.46330053188943415,3.418863144544624,0.637109856601698,0.4508966085390194,3.298097797941489,0.6378422231936802,0.7325109088707237,7.135579789797544,0.8995242946540991,0.6162860741443996,5.419913158931681,0.7843527258000978,0.6089020353923321,4.891531924655342,0.7928578487598681
total mean encode time,0.4251319158251125,2.8449216781205973,0.5961925456775335,0.3884526957066938,2.714085182720212,0.5647939620594465,0.37344575683251874,2.5930707377097346,0.5601489272271071,0.4625648246533943,3.2473562044626836,0.6346284720704051,0.4262167617031454,3.0874793317747002,0.6025224517966319,0.41031560775248055,2.957941538086799,0.5965717161988049,0.4943401628090083,3.6553604740797763,0.6638621009974958,0.45572571150612473,3.394001558915056,0.6297081523125881,0.4448256018342258,3.271487654502562,0.6294645737599283,0.7266835635361368,7.138057378642436,0.8947298318272021,0.6002562147812069,5.357346639346134,0.7713069056063444,0.582506115857326,4.727579759487716,0.765156836547916
classic mean decode time,0.05871501983698217,0.058595516435095765,0.06244684597970888,0.05835904318059877,0.0581498695933012,0.062376357626417314,0.05806319250989781,0.05799434414374986,0.06218767574780829,0.07565097458160337,0.07565331164455308,0.0797482581094826,0.07477362452479132,0.07489993205032841,0.07944832444287733,0.07454739227173637,0.0744562637514311,0.0787550109449559,0.08301185680050249,0.08303056156944877,0.08445797636907774,0.08678792182838214,0.08613431754723787,0.08894333825386141,0.09036796455095268,0.08930419105316777,0.09320049692203342,0.09355539374531696,0.09343581753696456,0.09144746797854043,0.12024352679425648,0.11860956385249566,0.11742114965494119,0.15579664310017946,0.15106356903505908,0.15477053281817876
genre mean decode time,0.05906270138953926,0.058793318867902344,0.06286391204626773,0.05894168486314503,0.05861643298649205,0.06280763512090444,0.05897727653065183,0.05869506390465179,0.06293182251687768,0.07694793856265554,0.07724443504688504,0.08124289202700787,0.07634444251731316,0.07657346529465238,0.0805630797791191,0.07621445374274446,0.07640676385023491,0.08039967643543722,0.0797991381291997,0.08013899713837552,0.08317014594094779,0.08289436602105542,0.08213263895493983,0.0862874525658645,0.08857568395021977,0.08506613973835321,0.0919382117937958,0.08208857512370213,0.08223161397808,0.0844489151887458,0.091739776825004,0.09038415108768776,0.09307889989433406,0.11617903623028066,0.1058825976484399,0.11871444218772235
jazz mean decode time,0.05886908570344805,0.0588859592298969,0.06261574018562825,0.05870439340927561,0.05842172524842055,0.0624527705348066,0.058703885828000804,0.05839872767221373,0.06317155364770448,0.07584699231675042,0.0760505069250373,0.07985426078166592,0.07498101631036697,0.0751846671080735,0.07919289670497394,0.07466922606600268,0.0749033976988553,0.07881986454220274,0.07895121031674242,0.07904903709213466,0.08208756636011087,0.08277190049413795,0.08200057617674895,0.08533373931804017,0.08886681779135809,0.08600870236550925,0.0917408316210567,0.0827063857235043,0.08274410176095222,0.084301686891377,0.09694835268048782,0.09558668670208798,0.09756727918500045,0.13083592500401647,0.12257229642710704,0.13471877622507428
popular mean decode time,0.05906707368402935,0.05918732658765291,0.06333278705461623,0.05916883338572239,0.059069814296291955,0.06344836004661411,0.05938824359471577,0.05924159663910526,0.06356594608378846,0.07738343774051226,0.07764440967905685,0.08178923660805215,0.0768561023354587,0.07700469748613575,0.0811424153068768,0.0766264472471071,0.0768853775005689,0.08087856822619234,0.08091549727762598,0.08111257276090024,0.08480056140472908,0.0846645575155227,0.08379175011702755,0.08853852311764429,0.09030588343875852,0.08667021297365551,0.0941989807551965,0.08324046557897002,0.0833161140059552,0.08614673654425858,0.09425215039087095,0.0928583833690441,0.09634095552728322,0.12018631775706591,0.1093370131745226,0.12271621236272198
