"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",FLAC -0,FLAC -5,FLAC -8,WavPack ,WavPack -h,WavPack -hh,WavPack -x4,WavPack -h -x4,WavPack -hh -x4,TTA,Monkey's Audio -c1000,Monkey's Audio -c2000,Monkey's Audio -c3000,Monkey's Audio -c4000,MPEG4-ALS ,MPEG4-ALS -b,MPEG4-ALS -7,TAK -p0,TAK -p0e,TAK -p0m,TAK -p1,TAK -p1e,TAK -p1m,TAK -p2,TAK -p2e,TAK -p2m,TAK -p3,TAK -p3e,TAK -p3m,TAK -p4,TAK -p4e,TAK -p4m,HALAC V.0.3.8 -mt=1 -normal,HALAC V.0.3.8 -mt=1 -fast,HALAC V.0.3.8 -mt=1 -ufast
classic mean encode time,0.06269469725385837,0.08217475749171936,0.1823387359194834,0.19372481036318537,0.29182120194986777,0.3904030532515919,4.1371339371817495,6.029439787113994,8.268443735669019,0.13547913654883148,0.16584089997936874,0.2278744916586982,0.24618701724457465,0.3439461241438874,0.6437417616704422,0.9030477207696546,27.97390936076395,0.06441335470682685,0.07810432815821092,0.12007426710441811,0.07445405499147512,0.10518825682968141,0.14917769814862483,0.08878242862256368,0.13732271013947822,0.22693886319348552,0.1550059031359354,0.18750063135270972,0.33081796291105037,0.24374672894784943,0.2845958106168351,0.503004747227512,0.03880460949558577,0.02750279818657697,0.025087222918707873
genre mean encode time,0.06408330593845864,0.08315705167434996,0.1909582487245928,0.19752343810432185,0.2976707501174281,0.39548368414385787,3.7087815268170736,5.665569954677614,8.54502644600615,0.13761382611109432,0.16912463561597288,0.23621869967573383,0.2539841467775403,0.3502365150955112,0.6471533688368704,0.9324992976017756,25.290194910488296,0.0702175730561047,0.08369260377515159,0.1264970051375203,0.08070521438814794,0.11245252915794686,0.15807334394094544,0.09575418415066261,0.14714181219782801,0.23892874625190594,0.16476690642605485,0.19837511295434818,0.35750085008564675,0.26102410068549603,0.3041010321783285,0.5933799289385292,0.03452177454960829,0.0283275815667689,0.025174263142749443
jazz mean encode time,0.06160829121357705,0.08123277908957892,0.18896220444775286,0.19344205025719294,0.29212365767180326,0.39036053199716764,3.9568391336300084,5.9360848391869805,8.916727502966047,0.13606658721737896,0.1653830529146717,0.23015770940917243,0.24659555057500696,0.3425752224841081,0.6460583211267782,0.9144341909092263,26.73542805946241,0.06476708230884523,0.07912335797063436,0.12161458508022395,0.07555835937603529,0.10684281332739129,0.1519871439109364,0.09039315661384523,0.14018737526613917,0.23134704071692472,0.15845274311220664,0.19148661525653743,0.34406953370987897,0.25332749996112425,0.29522021300988116,0.5584711396120577,0.03352050280737291,0.02743575952758361,0.0243508910188363
popular mean encode time,0.0646766654675153,0.08325601435754233,0.1928374764252005,0.20063999594882886,0.29898576290123596,0.39727762497389735,3.687215267659947,5.633544631882749,8.490391038477194,0.1405331897755112,0.17348612817853976,0.24094271345266705,0.2578759584552765,0.35549261157556844,0.6435319203174472,0.9396485891029349,25.26433926972835,0.0731123002069989,0.08722253976194591,0.12976249972357284,0.08396662216318554,0.11793520611479907,0.16140456412545662,0.09933819138288132,0.15126720201131422,0.24346225901261015,0.16941948751318112,0.2033165527490547,0.362788294476186,0.2660910747708877,0.30935092287795973,0.5986105938550257,0.034731646176671876,0.02868911837485559,0.025214162572318594
right mean encode time,0.07213630291617985,0.08951249816197025,0.19666196415864443,0.20129881041021386,0.3018096025162179,0.4000427539435434,3.7902793909976804,5.7277765373781495,8.535596301721338,0.14362677524306317,0.17296257114952004,0.24007130689511041,0.2584317795675363,0.3572910378609924,0.6453237403142232,0.9358147815571064,26.898480231381615,0.07639832556084182,0.09061240126184716,0.13238590396552036,0.0870943699731622,0.11872742095226944,0.1620216585339346,0.10139051455497157,0.1529332774023935,0.24103251444621457,0.1695077039272306,0.2030596432592301,0.35067476757049726,0.2617383138621793,0.3042850406341656,0.5518659962586671,0.038078606149627575,0.03188630011626121,0.029183963407961803
total mean encode time,0.06402551699535416,0.0830246046487131,0.19007180633186269,0.19715788147437754,0.2961067896632445,0.39431922538767905,3.8358388238298637,5.783014488374021,8.571297168519926,0.13821615844142376,0.16930462808183966,0.23514463997955892,0.25247352225136754,0.3495031980020539,0.6451156239921029,0.9258769183054941,26.17160470936432,0.06930812217454008,0.08327198389009673,0.1257142138576012,0.07992173221414374,0.1120617407762624,0.1564887982170791,0.09484816687165976,0.14557463499196668,0.2367247653934431,0.16344602905419348,0.1968223302154297,0.35113696961428464,0.25800390572728155,0.30045901625463567,0.5691802034407079,0.03529114449834679,0.028345995770911753,0.025262277804633523
classic mean decode time,0.06873016730528746,0.0699664498435135,0.07033614495834084,0.1681029816213456,0.21962858045322245,0.26426437115635576,0.1630894537423008,0.20365379963459848,0.2367712640077496,0.16800788459935898,0.19304681806383545,0.24755537155241328,0.25775799545989914,0.36069885351333925,0.22633191043742432,0.4106679074254483,2.069556274632903,0.08545244760991244,0.08766335608071756,0.08761847422236169,0.09038924726701636,0.09361858825664664,0.0918760647503597,0.09534662201583893,0.0966187290929053,0.09740969096395409,0.09801306326094043,0.0990640660972156,0.09969761493723056,0.10391836850236505,0.10543277223353598,0.10541785917695923,0.0574362840566623,0.05520834548724983,0.030398692249522883
genre mean decode time,0.06853614876984661,0.07267159195231904,0.07329082306437738,0.17122830424021987,0.21828728696048247,0.26448027262590296,0.16749303779273017,0.21168315538267132,0.25882722558962573,0.1676390121880398,0.19915313951448957,0.25983850920074575,0.2710009007648218,0.38031101590450134,0.22777518484990678,0.4369458282372089,0.9555308996142067,0.09429832405254392,0.09205557911845565,0.09326896691127523,0.09705795493697582,0.09725981190045686,0.09922628462798873,0.10118936680038666,0.10350705419132318,0.10440736850507502,0.10318762562305339,0.10442191221815733,0.1065679985573107,0.10793183319091106,0.10804576206592874,0.10888759381473805,0.052954599892470006,0.05502768896686086,0.029792986859003296
jazz mean decode time,0.06733410214624404,0.06991658487026867,0.07113244123932896,0.16903832530515164,0.2168489640545352,0.2623098922166624,0.16479883065927553,0.20967822667947358,0.25685427345086603,0.16754329032955426,0.19423322150487088,0.2508468911468611,0.26154805894872085,0.3671585974988163,0.22744239587513895,0.4189610460218033,1.4055798045436771,0.08775392619162137,0.08921733896116683,0.08976584904999106,0.09369789199674963,0.09262655761861137,0.09392022626620053,0.09729718627434851,0.09764908360364942,0.0987599457334166,0.09939442916798255,0.09925767785327995,0.10124372090419265,0.10454665906475163,0.104204320822096,0.10539764291400616,0.0527882666720041,0.054826478506025025,0.029879127830267936
popular mean decode time,0.06893343342756723,0.0727132864709347,0.07415832883905618,0.1722334768522939,0.21881356664727133,0.2648849031414655,0.16785917298663847,0.21053631582218058,0.2572127293723312,0.16966779743074167,0.20550613655886085,0.2666100817126271,0.27849098136082184,0.3878612230048545,0.22822715651469888,0.43970394734757157,0.9205354414757517,0.09898166847994844,0.09725150526126303,0.09681720636325127,0.1014846898260054,0.10231313669850936,0.1025605648581438,0.10582678589861733,0.10682393233479785,0.10893863244835618,0.10884564142583715,0.10877150323895923,0.11033113240152426,0.11216772796374719,0.11239269257114876,0.11316276434254285,0.05289000232038625,0.054871228481989026,0.02961331339130774
