"CPU: AMD64 Family 26 Model 68 Stepping 0, AuthenticAMD",SRLA -m 0 -V 0 -B 2048,SRLA -m 0 -V 2 -B 2048,SRLA -m 0 -V 0 -B 2048 -P 3,SRLA -m 0 -V 0 -B 4096,SRLA -m 0 -V 2 -B 4096,SRLA -m 0 -V 0 -B 4096 -P 3,SRLA -m 0 -V 0 -B 8192,SRLA -m 0 -V 2 -B 8192,SRLA -m 0 -V 0 -B 8192 -P 3,SRLA -m 2 -V 0 -B 2048,SRLA -m 2 -V 2 -B 2048,SRLA -m 2 -V 0 -B 2048 -P 3,SRLA -m 2 -V 0 -B 4096,SRLA -m 2 -V 2 -B 4096,SRLA -m 2 -V 0 -B 4096 -P 3,SRLA -m 2 -V 0 -B 8192,SRLA -m 2 -V 2 -B 8192,SRLA -m 2 -V 0 -B 8192 -P 3,SRLA -m 4 -V 0 -B 2048,SRLA -m 4 -V 2 -B 2048,SRLA -m 4 -V 0 -B 2048 -P 3,SRLA -m 4 -V 0 -B 4096,SRLA -m 4 -V 2 -B 4096,SRLA -m 4 -V 0 -B 4096 -P 3,SRLA -m 4 -V 0 -B 8192,SRLA -m 4 -V 2 -B 8192,SRLA -m 4 -V 0 -B 8192 -P 3,SRLA -m 6 -V 0 -B 2048,SRLA -m 6 -V 2 -B 2048,SRLA -m 6 -V 0 -B 2048 -P 3,SRLA -m 6 -V 0 -B 4096,SRLA -m 6 -V 2 -B 4096,SRLA -m 6 -V 0 -B 4096 -P 3,SRLA -m 6 -V 0 -B 8192,SRLA -m 6 -V 2 -B 8192,SRLA -m 6 -V 0 -B 8192 -P 3
classic mean encode time,0.4068809389655945,2.707077242871069,0.571501282573724,0.3694028176440973,2.5671747949380737,0.5414197822995472,0.35391802449918924,2.4407693557854557,0.5351752982785746,0.4420100153595987,3.0637627099820395,0.606790764656123,0.40213090926384815,2.8763972145587515,0.5724408510354124,0.38369305087164224,2.7233512982104813,0.5631101807572182,0.47996302848746986,3.5106865082734124,0.6391616364431913,0.4390367829691347,3.246679212307067,0.6046938790814478,0.4221016977051986,3.084238972689821,0.5987363017360361,0.723249285112417,7.032599224080021,0.8776396400932721,0.6205179944332108,5.433936089033794,0.7795512214363645,0.6156505698969332,4.970791953662999,0.7838433093178034
genre mean encode time,0.4158842153674674,2.7450783532165652,0.5795617724790013,0.3758109800018346,2.6119470220952317,0.547268847483164,0.36071045113840877,2.47446634741291,0.5398054274541676,0.44327354527778534,3.077635138563076,0.6105751079582444,0.40395079883872226,2.9000967646600286,0.5747034855148035,0.3861466170483429,2.7427966901520757,0.5654129691126117,0.4773533451017595,3.4619136996530457,0.6380240490830354,0.4314766831844281,3.18716981627499,0.600610724168429,0.41882947382063285,3.0349327931103995,0.5968172190760314,0.7007211701680932,6.9103658387454105,0.8658334397186312,0.5630033215582297,5.071001464280857,0.7310615464233409,0.5325447657449865,4.31857471771738,0.708436981580664
jazz mean encode time,0.41020283965845833,2.7266541517693916,0.5725386448206848,0.37215944784266347,2.5899803943752637,0.5423627209508383,0.3571268431758528,2.4623033876523324,0.5355038173734944,0.43699134063211686,3.039703568764167,0.6029430104202944,0.3987869805422541,2.863879700217295,0.5690323315650047,0.38198255631689126,2.7235499092998516,0.5609916106641598,0.4673741818664691,3.4229212706494367,0.6300955634709291,0.42854845667518576,3.1623571927288827,0.5956600210904943,0.417141812878155,3.037193502474131,0.5946756038061959,0.6977043277468443,6.886496048136873,0.8596463166535393,0.5724784880217711,5.100808781774715,0.7364831379167349,0.5604750870059185,4.504188269101304,0.7399466080351731
popular mean encode time,0.41565265193620093,2.7351923064922303,0.5802965670238696,0.37695216931904196,2.6029922740287423,0.5491966980617934,0.36208669507736085,2.474918905152709,0.5419468888131882,0.44367691315898117,3.073415691552919,0.611844043915529,0.4048904602952092,2.8977396236769817,0.5769846550509741,0.3878278768570394,2.7452623523990383,0.5678355658808775,0.475227286685831,3.470467157051461,0.6425560400681712,0.43559425260794615,3.20425284128999,0.6059862852950821,0.4225577923756749,3.056603475124504,0.6020766945932554,0.7022624813572498,6.918711183583335,0.8693046315239077,0.5692099376919499,5.082798161900801,0.7365164181449371,0.5370351129153039,4.337569810611196,0.7137323835713616
right mean encode time,0.4178926986702663,2.727415800837675,0.5810440184495484,0.3781960794889471,2.5967923198862035,0.5502530970948307,0.3628329598010717,2.465386747282808,0.543868327546041,0.44327450812113217,3.053037143865012,0.6123016176362241,0.40546749002406146,2.8733675886614463,0.5779538811038248,0.3884665915809948,2.7244905922334217,0.568921791924965,0.4805530721004653,3.480964374558502,0.6444974507537594,0.441053906248852,3.2254389056399906,0.6103969942016717,0.42704381307709216,3.0788598402166136,0.6063499507564932,0.7127984966936753,6.923346210625747,0.8710014448696783,0.5965779257713868,5.217553520482297,0.7568690227389798,0.5843424975931819,4.662747646374935,0.7616108844600978
total mean encode time,0.4131596988121442,2.730334784021559,0.5769269265109185,0.37442879270556123,2.5957336973619016,0.5459606561957139,0.359335068854862,2.465646081962831,0.5389783759487249,0.4417036862140174,3.0633827423980446,0.608664382826805,0.40282673031088395,2.885080496468209,0.5739180045402111,0.3854393941060014,2.734548958144495,0.5649784468796655,0.4749917301240855,3.464481640126943,0.6381633957074407,0.43393078202940166,3.1987813718637117,0.6024217292667718,0.4206716541112534,3.0531094515434933,0.5988919368734611,0.7049624858128056,6.927859929829686,0.8676899848005581,0.5787857845756794,5.1505437041244155,0.743648998840541,0.5575990861280957,4.497884402392331,0.7334408239331963
classic mean decode time,0.05922621655179463,0.059307101236787736,0.0629749763133844,0.058786315952139484,0.05858816885240878,0.06276632249005457,0.05854076485861926,0.05844670667405924,0.0628032037062476,0.07699226666060807,0.07701180957637059,0.08100509366978659,0.07632166277016315,0.07644721766936881,0.08058039171609062,0.07600037687662628,0.07602203034661408,0.08027022277075202,0.08212187139574606,0.08217816480295323,0.08411857495787209,0.08420740768551915,0.08390055270275767,0.08708131529566088,0.08611582677570687,0.08575822092779656,0.08967081664060421,0.0920744813069925,0.09204765300261125,0.09089767360909293,0.11675466212082651,0.11533655892196898,0.11459204432909159,0.15034373381256044,0.1458201490073802,0.14978482036618926
genre mean decode time,0.059527961054223665,0.059641990831049575,0.0636705895664959,0.0594973431890127,0.05933459067895491,0.06353293202566034,0.059609409637229334,0.05939508734484558,0.06367490511034503,0.07861135189315699,0.07890190892166052,0.08269681221991855,0.07800297067566447,0.0781098575483068,0.08215103153131686,0.07791060412457991,0.07791902602620104,0.08188389003751248,0.08241111226140897,0.08071642116904473,0.0839733533608525,0.08198547573885269,0.08159601746931594,0.08564234194102616,0.08546875905387867,0.08350489756563624,0.0892207450139501,0.08261510515889052,0.08276571620813857,0.08517131896227033,0.09066336620747795,0.08977165861615799,0.09239746171273451,0.11240465407349863,0.1035684695704141,0.11497014166473789
jazz mean decode time,0.0596984711566267,0.05963448677684032,0.06322319020735082,0.059338944475193375,0.059077923097251295,0.06298544464338822,0.059211019421829734,0.05907885975529969,0.0629768576805586,0.07741811950480336,0.07779060852915816,0.08139691376940762,0.07665616516489468,0.07687676116879977,0.08094447831217778,0.07634665385336069,0.07647045315885609,0.08034973076069907,0.07964149676749992,0.07967133046280855,0.08301066426480151,0.08160808571678116,0.08108639879982726,0.08458084798722172,0.08535244487886137,0.08349299390043702,0.0886081163492728,0.08306667981714158,0.08308393154793854,0.08490849582428636,0.09832657006774438,0.09414955154669338,0.09652430378263684,0.12607843118112183,0.11868013593338837,0.13001159900074089
popular mean decode time,0.06033107652945121,0.0602240246064944,0.06434047125997722,0.06011703934692015,0.06000262760094573,0.06434791295269768,0.06020539865294623,0.06009287164946959,0.06442137217529496,0.07911588680846544,0.07942237391492285,0.08342412565378005,0.07865153415437201,0.07873337163384429,0.08298514460467567,0.07849866302875941,0.07858224740962383,0.08274933376550997,0.08154963479399677,0.0816731913714418,0.08539982335182844,0.08357630101584158,0.08308001875443326,0.0875080188922529,0.08696610386805319,0.08477345513483958,0.09123149572903677,0.0835951888399791,0.08375431789688917,0.08654855713516849,0.09288117945483976,0.09179642522075421,0.09504976212797031,0.1160642056589403,0.10678360462944483,0.11878685562164615
